comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,failure_reason,not_triggered,missed_unselected,ordinary,0,28,,,-0.08615384615384615,,0.0,0.08615384615384615,0.0,0.08615384615384615,5,weak_or_no_separation,`failure_reason=not_triggered` has weak segment separation.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,signal_type,D2_WATCH_OR_SMALL,missed_unselected,ordinary,9,33,,,-0.03335664335664336,,0.06818181818181818,0.10153846153846154,0.671487603305785,0.03335664335664336,5,weak_or_no_separation,`signal_type=D2_WATCH_OR_SMALL` has weak segment separation.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,position_level,small,missed_unselected,ordinary,9,33,,,-0.03335664335664336,,0.06818181818181818,0.10153846153846154,0.671487603305785,0.03335664335664336,5,weak_or_no_separation,`position_level=small` has weak segment separation.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,failure_reason,break_invalid,missed_unselected,ordinary,0,10,,,-0.03076923076923077,,0.0,0.03076923076923077,0.0,0.03076923076923077,5,weak_or_no_separation,`failure_reason=break_invalid` has weak segment separation.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,support_type,B,missed_unselected,ordinary,17,43,,,-0.003519813519813536,,0.12878787878787878,0.13230769230769232,0.9733967582804791,0.003519813519813536,5,weak_or_no_separation,`support_type=B` has weak segment separation.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,executed,False,missed_unselected,ordinary,132,325,,,0.0,,1.0,1.0,1.0,0.0,5,weak_or_no_separation,`executed=False` has weak segment separation.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,active_money_score,,success,failed,11,55,75.27272727272727,77.56363636363636,-2.2909090909090963,-0.18002602605170376,,,,0.18002602605170376,5,weak_or_no_separation,`active_money_score` has weak separation in this comparison.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,daily_rank,,success,failed,11,55,38.72727272727273,35.63636363636363,3.0909090909090935,0.1769037353157276,,,,0.1769037353157276,5,weak_or_no_separation,`daily_rank` has weak separation in this comparison.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,total_score,,success,failed,11,55,78.73181818181818,79.26181818181817,-0.5299999999999869,-0.11404019889544215,,,,0.11404019889544215,5,weak_or_no_separation,`total_score` has weak separation in this comparison.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,support_score,,success,failed,11,55,83.72727272727273,82.85454545454546,0.8727272727272748,0.10517956111728476,,,,0.10517956111728476,5,weak_or_no_separation,`support_score` has weak separation in this comparison.
