event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,residual_group,d1_high_to_close_drawdown_raw,d1_close_location,d1_intraday_range,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_last_hour_return,late_day_sell_volume_ratio,late_day_sell_amount_ratio,score_gap_to_rank3,candidate_count
002669_2026-06-11,2026-06-11,002669,2,0.52322400961,10,0,-0.00120481927711,-0.00120481927711,RANK4_10_NON_WINNER,0.0538461538462,0,0.0512284370099,0,-0.03367003367,0,0,0,,10
002119_2026-06-12,2026-06-12,002119,2,0.588067577805,1,0,0.0543580131209,0.0543580131209,TOP3_FALSE_POSITIVE,0.0687645687646,0.226229508197,0.0977564102564,0.0220658778382,-0.068221574344,-0.0341492898157,0.153949165095,0.150637417839,,8
000048_2026-06-12,2026-06-12,000048,3,0.567836450945,2,0,-0.0215053763441,-0.0215053763441,TOP3_FALSE_POSITIVE,0.107176581681,0,0.115757266701,0,-0.0247550283651,-0.0410750507099,0.127089799996,0.122174935987,,8
002409_2026-06-12,2026-06-12,002409,2,0.56544213603,3,1,0.0771077107711,0.07,TOP3_TRUE_POSITIVE,0.0790166204986,0.0915605095541,0.0931681625992,0.00872269417476,-0.050139275766,-0.0125482625483,0.144684446438,0.140159945048,,8
600378_2026-06-12,2026-06-12,600378,2,0.549637702913,4,1,0.0784588441331,0.07,RANK4_10_MISSED_WINNER,0.0954415954416,0,0.0943809672875,0,-0.0954415954416,0,0,0,0.015804433117,8
002165_2026-06-12,2026-06-12,002165,2,0.54002229513,5,1,0.0732356857523,0.07,RANK4_10_MISSED_WINNER,0.0630303030303,0.358024691358,0.100871731009,0.0389784946237,0.0389784946237,-0.030112923463,0.0852135450408,0.086364235858,0.0254198409,8
600665_2026-06-12,2026-06-12,600665,2,0.533900544134,6,0,0.012987012987,0.012987012987,RANK4_10_NON_WINNER,0.0431654676259,0.560975609756,0.100737100737,0.061170212766,0.031007751938,-0.00992555831266,0.0293353307092,0.0297041489006,,8
603155_2026-06-12,2026-06-12,603155,2,0.523644152618,7,1,0.087962962963,0.07,RANK4_10_MISSED_WINNER,0.0908725371934,0,0.0899681528662,0,-0.05,0,0,0,0.041797983412,8
600178_2026-06-12,2026-06-12,600178,2,0.514674820484,8,0,-0.00398803589232,-0.00398803589232,RANK4_10_NON_WINNER,0.123144104803,0.013986013986,0.135288552507,0.00199600798403,-0.0608044901777,-0.01953125,0.0892582639243,0.0844906318955,,8
002203_2026-06-15,2026-06-15,002203,2,0.551771532523,1,0,0.03625,0.03625,TOP3_FALSE_POSITIVE,0.0259332023576,0.752808988764,0.113907849829,0.0882352941176,0.0778260869565,0.00405022276225,0.0395349286848,0.0402027420099,,3
600067_2026-06-15,2026-06-15,600067,2,0.51804962166,2,0,0.0285714285714,0.0285714285714,TOP3_FALSE_POSITIVE,0.0350404312668,0.628571428571,0.100574712644,0.0654761904762,0.0376811594203,0,0.0852691684241,0.0853889584422,,3
603014_2026-06-15,2026-06-15,603014,2,0.4702966319,3,1,0.111851637207,0.07,TOP3_TRUE_POSITIVE,0.0306884158142,0.393442622951,0.0500958116616,0.0209668025626,-0.0306884158142,0.013587742122,0.0526871503039,0.0525008719649,,3
601958_2026-06-16,2026-06-16,601958,3,0.586498808578,1,0,0.0439285714286,0.0439285714286,TOP3_FALSE_POSITIVE,0.0285906491759,0.674329501916,0.0929818311364,0.0648967551622,0.0277580071174,0.0299572039943,0.0374769425033,0.0371157369145,,7
001359_2026-06-16,2026-06-16,001359,2,0.582950918582,2,1,0.120841364284,0.07,TOP3_TRUE_POSITIVE,0.0119638642468,0.764423076923,0.0529486635554,0.0408985681214,-0.00638402357178,0.0028085246985,0.0632620245876,0.0639106968733,,7
000510_2026-06-16,2026-06-16,000510,3,0.570419244903,3,0,-0.0145310435931,-0.0145310435931,TOP3_FALSE_POSITIVE,0.013751611517,0.820224719101,0.0835288596903,0.0679385760819,0.0431818181818,-0.00130548302872,0.0716613820597,0.0729463699931,,7
603738_2026-06-16,2026-06-16,603738,2,0.552230803584,4,1,0.129815592478,0.07,RANK4_10_MISSED_WINNER,0.0522451767116,0.417142857143,0.0922509225092,0.041072768192,-0.0261403508772,-0.00125944584383,0.0599711217599,0.0598340594857,0.018188441319,7
601696_2026-06-16,2026-06-16,601696,2,0.549260829238,5,0,-0.0187265917603,-0.0187265917603,RANK4_10_NON_WINNER,0.0169992609017,0.757894736842,0.0748620961387,0.0572337042925,0.0572337042925,0.00910470409712,0.0536459951542,0.054346444428,,7
603335_2026-06-16,2026-06-16,603335,2,0.530453140418,6,1,0.111922141119,0.07,RANK4_10_MISSED_WINNER,0.0964102564103,0.293233082707,0.150112866817,0.0463182897862,-0.0964102564103,0.0161476355248,0.0273395559409,0.0262245960767,0.039966104485,7
000506_2026-06-16,2026-06-16,000506,2,0.514713490714,7,0,-0.00130975769483,-0.00130975769483,RANK4_10_NON_WINNER,0.0299936183791,0.5,0.0622516556291,0.0319076714189,0.00595632031767,0,0.043712440899,0.0436104061635,,7
