event_id,signal_date,code,board_streak_before_break,board_group,d2_date,d3_date,label_available_date,target7,loss,severe_loss_5,raw_repair_return,capped_return_7
603936_2026-05-26,2026-05-26,603936,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.00308641975309,0.00308641975309
605580_2026-05-26,2026-05-26,605580,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,1,0,0,0.1272,0.07
000510_2026-05-27,2026-05-27,000510,3,BOARD3,2026-05-28,2026-05-29,2026-05-29,0,0,0,0.00334821428571,0.00334821428571
002185_2026-05-27,2026-05-27,002185,2,BOARD2,2026-05-28,2026-05-29,2026-05-29,0,0,0,0.0669975186104,0.0669975186104
002388_2026-05-27,2026-05-27,002388,2,BOARD2,2026-05-28,2026-05-29,2026-05-29,0,0,0,0.0187074829932,0.0187074829932
002552_2026-05-27,2026-05-27,002552,3,BOARD3,2026-05-28,2026-05-29,2026-05-29,1,0,0,0.222996515679,0.07
002585_2026-05-27,2026-05-27,002585,3,BOARD3,2026-05-28,2026-05-29,2026-05-29,1,0,0,0.0986590038314,0.07
002957_2026-05-27,2026-05-27,002957,2,BOARD2,2026-05-28,2026-05-29,2026-05-29,1,0,0,0.212845673506,0.07
003036_2026-05-27,2026-05-27,003036,2,BOARD2,2026-05-28,2026-05-29,2026-05-29,1,0,0,0.244761904762,0.07
600172_2026-05-27,2026-05-27,600172,3,BOARD3,2026-05-28,2026-05-29,2026-05-29,1,0,0,0.21482602118,0.07
600520_2026-05-27,2026-05-27,600520,2,BOARD2,2026-05-28,2026-05-29,2026-05-29,0,0,0,0.0330961954841,0.0330961954841
600584_2026-05-27,2026-05-27,600584,2,BOARD2,2026-05-28,2026-05-29,2026-05-29,1,0,0,0.0814359715697,0.07
000759_2026-05-28,2026-05-28,000759,2,BOARD2,2026-05-29,2026-06-01,2026-06-01,1,0,0,0.0771929824561,0.07
001257_2026-05-28,2026-05-28,001257,2,BOARD2,2026-05-29,2026-06-01,2026-06-01,0,1,1,-0.0676771237222,-0.0676771237222
002251_2026-05-28,2026-05-28,002251,2,BOARD2,2026-05-29,2026-06-01,2026-06-01,1,0,0,0.168539325843,0.07
