event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,stage1_strength,closing_completion_gap,strength_x_gap,original_stage1_top3,risk_p_loss,risk_veto,final_limited_risk_rank,target7,loss_target,raw_repair_return,capped_opportunity_return_7
600110_2026-06-18,2026-06-18,600110,15,2026-06-23,0.580452756331,3,True,0.857142857143,0.5,0.428571428571,True,0.217910783106,False,3,0,1,-0.0444572748268,-0.0444572748268
603002_2026-06-18,2026-06-18,603002,15,2026-06-23,0.573955645041,4,True,0.785714285714,0.4,0.314285714286,False,,False,4,1,0,0.117920540997,0.07
002080_2026-06-18,2026-06-18,002080,15,2026-06-23,0.560803777126,5,True,0.714285714286,0.425,0.303571428571,False,,False,5,0,0,0.0197681513118,0.0197681513118
603115_2026-06-18,2026-06-18,603115,15,2026-06-23,0.552043813694,6,True,0.642857142857,0.875,0.5625,False,,False,6,0,0,0.0322945682451,0.0322945682451
600186_2026-06-18,2026-06-18,600186,15,2026-06-23,0.551631778798,7,True,0.571428571429,0.775,0.442857142857,False,,False,7,0,0,0.0350515463918,0.0350515463918
000679_2026-06-18,2026-06-18,000679,15,2026-06-23,0.546599234047,8,True,0.5,0.45,0.225,False,,False,8,0,0,0.0197889182058,0.0197889182058
603773_2026-06-18,2026-06-18,603773,15,2026-06-23,0.538454414922,9,True,0.428571428571,0.325,0.139285714286,False,,False,9,0,0,0.0675738274464,0.0675738274464
000777_2026-06-18,2026-06-18,000777,15,2026-06-23,0.535094883741,10,True,0.357142857143,0.8,0.285714285714,False,,False,10,0,0,0.0143464399575,0.0143464399575
601636_2026-06-18,2026-06-18,601636,15,2026-06-23,0.53503798609,11,False,0.285714285714,,,False,,False,11,0,0,0.0048309178744,0.0048309178744
002484_2026-06-18,2026-06-18,002484,15,2026-06-23,0.525255049639,12,False,0.214285714286,,,False,,False,12,0,1,-0.0501659904094,-0.0501659904094
600192_2026-06-18,2026-06-18,600192,15,2026-06-23,0.523584163994,13,False,0.142857142857,,,False,,False,13,0,0,0.00126742712294,0.00126742712294
600615_2026-06-18,2026-06-18,600615,15,2026-06-23,0.521173712542,14,False,0.0714285714286,,,False,,False,14,0,1,-0.00570342205323,-0.00570342205323
600707_2026-06-18,2026-06-18,600707,15,2026-06-23,0.514021305021,15,False,0,,,False,,False,15,1,0,0.109845402766,0.07
001339_2026-06-22,2026-06-22,001339,7,2026-06-24,0.517562963578,1,True,1,0.214285714286,0.214285714286,True,0.221988482049,False,1,0,0,0.0626988437961,0.0626988437961
002989_2026-06-22,2026-06-22,002989,7,2026-06-24,0.515856084349,2,True,0.833333333333,0.142857142857,0.119047619048,True,0.22308306847,False,2,0,0,0.0214190093708,0.0214190093708
002491_2026-06-22,2026-06-22,002491,7,2026-06-24,0.512636590575,3,True,0.666666666667,0.464285714286,0.309523809524,True,0.222372609921,False,3,1,0,0.0711188204683,0.07
002141_2026-06-22,2026-06-22,002141,7,2026-06-24,0.504174372027,4,True,0.5,0.892857142857,0.446428571429,False,,False,4,1,0,0.0746268656716,0.07
002579_2026-06-22,2026-06-22,002579,7,2026-06-24,0.503604742205,5,True,0.333333333333,0.5,0.166666666667,False,,False,5,0,1,-0.0383309073265,-0.0383309073265
