source_column,admission_status,reason_codes,mechanism_group,target_blind,notes
daily_label_quality_ok,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
daily_label_quality_reason,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
audit_minute_d2_open,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
audit_minute_d3_high,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
audit_minute_d3_close,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
audit_minute_target7,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
audit_minute_tail_loss,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
audit_minute_d2open_to_d3high_return,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
audit_minute_d2open_to_d3close_return,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
target_label_daily_vs_minute_same,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
tail_label_daily_vs_minute_same,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2_open_daily_minus_minute,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d3_high_daily_minus_minute,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d3_close_daily_minus_minute,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
target_return_daily_minus_minute,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
close_return_daily_minus_minute,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d1_factor_quality_ok,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
target_training_eligible,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
tail_training_eligible,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
sample_role_v021,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
label_d2_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
label_d3_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
daily_label_source_d2,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
daily_label_source_d3,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
daily_label_cache_path,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
daily_label_cache_mtime,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
daily_label_cache_sha256,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
sample_role_v022,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
d1_break_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
d1_signal_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
d0_last_board_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
d2_entry_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d3_outcome_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
