source_column,source_column_role,available_as_of,stage1_allowed_for_feature_analysis,source_or_formula,dtype,semantic_type,mechanism_group,unit_family,non_null_count,missing_count,missing_rate,unique_count,dominant_value,dominant_count,dominant_rate,min_value,max_value,exact_duplicate_group_id,canonical_source_column,mutual_exclusion_group_id,admission_status,primary_allowed,sensitivity_allowed,derive_only,reason_codes,preprocess_policy,target_blind,notes
break_low,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_low,float64,break_day_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,321,19.0,2,0.006006,1.34,553.18,ED03,d1_low,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_low (ED03)
break_close,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_close,float64,break_day_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,327,3.99,3,0.009009,1.35,580.0,ED04,d1_close,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_close (ED04)
break_prev_close,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_prev_close,float64,prev_close_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,314,3.85,2,0.006006,1.43,570.58,,break_prev_close,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
break_open_return,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_open_return,float64,break_day_return,D1_PRICE_ACTION,return,333,0,0.0,318,0.0,16,0.048048,-0.100494233937397,0.1004514672686232,,break_open_return,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
break_high_return,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_high_return,float64,break_day_return,D1_PRICE_ACTION,return,333,0,0.0,323,0.0,6,0.018018,-0.0999719180005617,0.101010101010101,,break_high_return,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
break_close_return,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_close_return,float64,break_day_return,D1_PRICE_ACTION,return,333,0,0.0,331,0.0,3,0.009009,-0.1054938174988261,0.0980742252263742,,break_close_return,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,FOLD_CLIP_Z,True,
break_intraday_range,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_intraday_range,float64,intraday_range_ratio,D1_PRICE_ACTION,ratio,333,0,0.0,331,0.0781990521327014,2,0.006006,0.0,0.2001853568118627,ED05,d1_intraday_range,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_intraday_range (ED05)
break_high_to_close_drawdown,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_high_to_close_drawdown,float64,high_to_close_drawdown,D1_PRICE_ACTION,drawdown,333,0,0.0,329,0.0,3,0.009009,0.0,0.173044925124792,ED06,d1_high_to_close_drawdown_raw,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_high_to_close_drawdown_raw (ED06)
break_upper_shadow_ratio,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_upper_shadow_ratio,float64,shadow_ratio,D1_PRICE_ACTION,ratio,331,2,0.006006,296,0.0,35,0.105105,0.0,1.0,,break_upper_shadow_ratio,,SENSITIVITY_RAW,False,True,False,MISSING_LE_15PCT,FOLD_CLIP_Z,True,
break_lower_shadow_ratio,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_lower_shadow_ratio,float64,shadow_ratio,D1_PRICE_ACTION,ratio,331,2,0.006006,291,0.0,40,0.12012,0.0,0.8333333333333338,,break_lower_shadow_ratio,,SENSITIVITY_RAW,False,True,False,MISSING_LE_15PCT,FOLD_CLIP_Z,True,
break_close_location,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_close_location,float64,close_location_ratio,D1_PRICE_ACTION,location,331,2,0.006006,306,0.0,25,0.075075,0.0,1.0,ED07,d1_close_location,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_close_location (ED07)
break_volume,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_volume,float64,absolute_volume,RAW_SCALE_SOURCE,volume,333,0,0.0,333,1511520.0,1,0.003003,27094.0,352760547.0,ED08,d1_volume,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_volume (ED08)
break_amount,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_amount,float64,absolute_amount,RAW_SCALE_SOURCE,amount,333,0,0.0,333,576719965.3734,1,0.003003,86836270.0,35140741684.3214,ED09,d1_amount,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_amount (ED09)
break_volume_ratio_vs_board_days,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_volume_ratio_vs_board_days,float64,volume_ratio_vs_board,D1_VOLUME_ACTIVITY,ratio,333,0,0.0,333,1.9557475120024888,1,0.003003,0.0851824177252201,32.94142699037559,,break_volume_ratio_vs_board_days,ME01_BREAK_ACTIVITY_RATIO,PRIMARY_RAW,True,False,False,ME_CANONICAL|DEFAULT_PRIMARY,FOLD_CLIP_Z,True,互斥组: ME01_BREAK_ACTIVITY_RATIO
break_amount_ratio_vs_board_days,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_amount_ratio_vs_board_days,float64,amount_ratio_vs_board,D1_VOLUME_ACTIVITY,ratio,331,2,0.006006,331,2.027092477077651,1,0.003003,0.0881861955582029,36.04867930179479,,break_amount_ratio_vs_board_days,ME01_BREAK_ACTIVITY_RATIO,SENSITIVITY_RAW,False,True,False,MISSING_LE_15PCT|ME_ALTERNATIVE,FOLD_CLIP_Z,True,互斥组: ME01_BREAK_ACTIVITY_RATIO
break_turnover_ratio,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_turnover_ratio,float64,turnover_ratio,D1_VOLUME_ACTIVITY,ratio,0,333,1.0,0,,0,0.0,,,,break_turnover_ratio,,EXCLUDE_ALL_MISSING,False,False,False,ALL_MISSING,NO_DIRECT_MODEL_INPUT,True,
