event_id,signal_date,code,board_group,stage1_score,stage1_rank,top1,top2,top3,d2_date,d3_date,d2_open_daily,d3_high_daily,target7,positive_non_target,loss,severe_loss,raw_repair_return,capped_return_7
002365_2026-07-17,2026-07-17,002365,BOARD2,0.608794694815,1,True,True,True,2026-07-20,2026-07-21,11.72,12.4,0,1,0,0,0.0580204778157,0.0580204778157
000504_2026-07-17,2026-07-17,000504,BOARD2,0.568981191003,2,False,True,True,2026-07-20,2026-07-21,8.4,8.06,0,0,1,0,-0.0404761904762,-0.0404761904762
002739_2026-07-17,2026-07-17,002739,BOARD2,0.56883096417,3,False,False,True,2026-07-20,2026-07-21,9.59,9.58,0,0,1,0,-0.00104275286757,-0.00104275286757
000566_2026-07-17,2026-07-17,000566,BOARD2,0.550491580173,4,False,False,False,2026-07-20,2026-07-21,4.59,4.78,0,1,0,0,0.041394335512,0.041394335512
600785_2026-07-17,2026-07-17,600785,BOARD2,0.548469003687,5,False,False,False,2026-07-20,2026-07-21,8.28,8.07,0,0,1,0,-0.0253623188406,-0.0253623188406
000676_2026-07-20,2026-07-20,000676,BOARD3,0.54215258756,1,True,True,True,2026-07-21,2026-07-22,6.36,7.23,1,0,0,0,0.13679245283,0.07
603567_2026-07-20,2026-07-20,603567,BOARD2,0.536810017753,2,False,True,True,2026-07-21,2026-07-22,5.57,6.25,1,0,0,0,0.122082585278,0.07
002677_2026-07-20,2026-07-20,002677,BOARD3,0.535691883624,3,False,False,True,2026-07-21,2026-07-22,6.49,6.41,0,0,1,0,-0.0123266563945,-0.0123266563945
002632_2026-07-20,2026-07-20,002632,BOARD2,0.520146463613,4,False,False,False,2026-07-21,2026-07-22,8.58,8.35,0,0,1,0,-0.0268065268065,-0.0268065268065
600162_2026-07-20,2026-07-20,600162,BOARD3,0.519423438637,5,False,False,False,2026-07-21,2026-07-22,2.57,2.76,1,0,0,0,0.0739299610895,0.07
002829_2026-07-20,2026-07-20,002829,BOARD2,0.519156761641,6,False,False,False,2026-07-21,2026-07-22,19.87,23.23,1,0,0,0,0.169099144439,0.07
000722_2026-07-21,2026-07-21,000722,BOARD2,0.60102382718,1,True,True,True,2026-07-22,2026-07-23,13.84,14.97,1,0,0,0,0.0816473988439,0.07
600644_2026-07-21,2026-07-21,600644,BOARD2,0.58281503821,2,False,True,True,2026-07-22,2026-07-23,9.3,11.5,1,0,0,0,0.236559139785,0.07
600236_2026-07-21,2026-07-21,600236,BOARD2,0.57156738861,3,False,False,True,2026-07-22,2026-07-23,10.81,12.25,1,0,0,0,0.133209990749,0.07
000037_2026-07-21,2026-07-21,000037,BOARD2,0.557688287932,4,False,False,False,2026-07-22,2026-07-23,9.36,10.7,1,0,0,0,0.143162393162,0.07
000899_2026-07-21,2026-07-21,000899,BOARD2,0.552785923908,5,False,False,False,2026-07-22,2026-07-23,10.65,11.55,1,0,0,0,0.0845070422535,0.07
600227_2026-07-21,2026-07-21,600227,BOARD2,0.55143726511,6,False,False,False,2026-07-22,2026-07-23,2.8,3.46,1,0,0,0,0.235714285714,0.07
600722_2026-07-21,2026-07-21,600722,BOARD2,0.544279557136,7,False,False,False,2026-07-22,2026-07-23,8.77,10.9,1,0,0,0,0.242873432155,0.07
000889_2026-07-22,2026-07-22,000889,BOARD2,0.593555243892,1,True,True,True,2026-07-23,2026-07-24,3.88,3.77,0,0,1,0,-0.0283505154639,-0.0283505154639
002036_2026-07-22,2026-07-22,002036,BOARD2,0.575312319822,2,False,True,True,2026-07-30,2026-07-31,7.25,7.1,0,0,1,0,-0.0206896551724,-0.0206896551724
