model_head,factor,bucket,bucket_n,bucket_target7_rate,bucket_tail_rate,bucket_avg_close_return
post_tail,d1_open_to_close_bucket,below_minus_5pct,57,0.47368421052631576,0.3157894736842105,0.017564406091684637
post_tail,d1_open_to_close_bucket,minus_2_to_0pct,75,0.32,0.3466666666666667,0.0004355808981246348
post_tail,d1_open_to_close_bucket,minus_5_to_minus_2pct,109,0.3302752293577982,0.3394495412844037,-0.002772532948882046
post_tail,d1_open_to_close_bucket,plus_2_to_plus_5pct,72,0.2777777777777778,0.3611111111111111,-0.006861242682914824
post_tail,d1_open_to_close_bucket,zero_to_plus_2pct,77,0.35064935064935066,0.3246753246753247,0.0017457744278370011
post_tail,d1_high_to_close_drawdown_raw,0,9,0.5555555555555556,0.3333333333333333,0.014191941377749682
post_tail,d1_high_to_close_drawdown_raw,1,439,0.32801822323462415,0.3416856492027335,-0.0018199652310053873
post_tail,d1_close_location,0,40,0.55,0.325,0.011841482664253136
post_tail,d1_close_location,1,408,0.3112745098039216,0.3431372549019608,-0.0028061190455434897
post_tail,d1_close_to_vwap_raw,0,252,0.373015873015873,0.32936507936507936,0.0037555279372240347
post_tail,d1_close_to_vwap_raw,1,196,0.28061224489795916,0.35714285714285715,-0.008253215837714668
post_tail,volume_above_d1_close_ratio,1,448,0.3325892857142857,0.34151785714285715,-0.0014982974643116477
post_tail,late_day_sell_volume_ratio,0,27,0.5925925925925926,0.25925925925925924,0.02654930815670093
post_tail,late_day_sell_volume_ratio,1,421,0.3159144893111639,0.34679334916864607,-0.0032970750219537834
post_tail,down_bar_volume_ratio,0,6,0.6666666666666666,0.3333333333333333,0.01709161927163237
post_tail,down_bar_volume_ratio,1,442,0.32805429864253394,0.3416289592760181,-0.001750649275206816
post_tail,break_volume_ratio_vs_board_days,1,448,0.3325892857142857,0.34151785714285715,-0.0014982974643116477
post_tail,break_volume_log_ratio,0,32,0.46875,0.25,0.017763487980240862
post_tail,break_volume_log_ratio,1,416,0.32211538461538464,0.3485576923076923,-0.0029799732677387647
post_tail,break_volume_distance_from_one,1,448,0.3325892857142857,0.34151785714285715,-0.0014982974643116477
post_tail,break_high_to_close_drawdown,0,5,0.4,0.4,-0.013085759513682498
post_tail,break_high_to_close_drawdown,1,443,0.33182844243792325,0.34085778781038373,-0.0013675134682690879
