model_head,factor_name,mathematical_expression,effective_degrees_of_freedom,coverage,univariate_auc,june_direction,july_direction,temporal_direction_consistency,max_abs_correlation,target7_interpretation,tail_interpretation,decision,reason
post_target,break_touched_limit_up,break_high >= 涨停价 - 0.011,1,1.0,0.5019752643038315,down,up,0.0,0.324072262080895,桶率 0.33 0.34,桶尾 0.33 0.41,AUDIT_ONLY,"auc=0.502 低于 0.51, 证据弱"
post_target,board_streak_is_3,board_streak_before_break == 3,1,1.0,0.5019640412111962,up,down,0.3333333333333333,0.23453358654768083,桶率 0.33 0.34,桶尾 0.34 0.36,AUDIT_ONLY,"auc=0.502 低于 0.51, 证据弱"
post_target,ma5_above_10_hinge,"max(d1_close_to_ma5_raw - 0.10, 0)",1,1.0,0.4983389822899598,up,down,0.3333333333333333,0.6094183645652125,桶率 0.33 0.32,桶尾 0.33 0.47,AUDIT_ONLY,"auc=0.498 低于 0.51, 证据弱"
post_target,post_day,post_day (仅 post 头),1,1.0,0.4957576709838163,flat,down,0.3333333333333333,0.3738532322962164,桶率 0.33,桶尾 0.34,AUDIT_ONLY,"auc=0.496 低于 0.51, 证据弱"
post_target,break_high_to_close_drawdown,(break_high - break_close) / break_high,1,1.0,0.49515162398150436,down,up,0.0,0.8471394016062408,桶率 0.40 0.33,桶尾 0.40 0.34,AUDIT_ONLY,"auc=0.495 低于 0.51, 证据弱"
post_target,break_opened_from_limit_up,break_open >= 涨停价 - 0.011,1,1.0,0.49333348297456847,flat,down,0.6666666666666666,0.324072262080895,桶率 0.34 0.20,桶尾 0.34 0.50,AUDIT_ONLY,"auc=0.493 低于 0.51, 证据弱"
post_target,d1_true_reclaim_ma5,d1_low <= d1_ma5 AND d1_close >= d1_ma5,1,1.0,0.4837040694933896,down,flat,1.0,0.395302745687998,桶率 0.34 0.31,桶尾 0.35 0.33,AUDIT_ONLY,"auc=0.484 低于 0.51, 证据弱"
post_target,late_day_sell_volume_ratio,Σvol(time>=14:00 & close<open) / Σvol,1,1.0,0.47920360934659156,up,down,0.6666666666666666,0.29216916678438043,桶率 0.59 0.32,桶尾 0.26 0.35,AUDIT_ONLY,"auc=0.479 低于 0.51, 证据弱"
post_target,d1_repair_above_5_flag,1 if d1_open_to_close_return_raw >= 0.05 else 0,1,1.0,0.47842921595474847,down,down,0.6666666666666666,0.7255051516044237,桶率 0.34 0.26,桶尾 0.34 0.36,AUDIT_ONLY,"auc=0.478 低于 0.51, 证据弱"
post_target,ma5_above_5_hinge,"max(d1_close_to_ma5_raw - 0.05, 0)",1,1.0,0.4652533052007811,flat,down,0.6666666666666666,0.7929025954629041,桶率 0.36 0.27,桶尾 0.33 0.38,AUDIT_ONLY,"auc=0.465 低于 0.51, 证据弱"
post_target,d1_repair_above_2_hinge,"max(d1_open_to_close_return_raw - 0.02, 0)",1,1.0,0.46257098606091895,down,down,1.0,0.8014862988374646,桶率 0.36 0.27,桶尾 0.33 0.36,AUDIT_ONLY,"auc=0.463 低于 0.51, 证据弱"
post_target,d1_close_to_ma5_bucket,分桶(-5/-2/+2/+5/+10%),5,1.0,0.46053960629391033,flat,down,0.6666666666666666,,桶率 0.32 0.45 0.30 0.32 0.39 0.25,桶尾 0.47 0.27 0.39 0.39 0.22 0.34,AUDIT_ONLY,"auc=0.461 低于 0.51, 证据弱"
post_target,d1_close_to_ma5_raw,d1_close / d1_ma5 - 1,1,1.0,0.4543781284370721,down,down,0.6666666666666666,0.9999998665405297,桶率 0.38 0.30,桶尾 0.35 0.34,AUDIT_ONLY,"auc=0.454 低于 0.51, 证据弱"
post_target,ma5_gap_clipped,"clip(d1_close_to_ma5_raw, -0.15, 0.20)",1,1.0,0.4543556822518013,down,down,0.6666666666666666,0.9999998665405297,桶率 0.38 0.30,桶尾 0.35 0.34,AUDIT_ONLY,"auc=0.454 低于 0.51, 证据弱"
post_target,d1_open_to_close_return_raw,d1_close / d1_open - 1,1,1.0,0.4460281475163296,down,down,1.0,0.9999766436107932,桶率 0.36 0.30,桶尾 0.34 0.35,AUDIT_ONLY,"auc=0.446 低于 0.51, 证据弱"
post_target,d1_oc_return_clipped,"clip(d1_open_to_close_return_raw, -0.10, 0.10)",1,1.0,0.44597203205315256,down,down,1.0,0.9999766436107932,桶率 0.36 0.30,桶尾 0.34 0.35,AUDIT_ONLY,"auc=0.446 低于 0.51, 证据弱"
post_target,d1_open_to_close_bucket,分桶(-5/-2/0/+2/+5%),5,1.0,0.4372180197975354,down,down,1.0,,桶率 0.26 0.47 0.32 0.33 0.28 0.35,桶尾 0.36 0.32 0.35 0.34 0.36 0.32,AUDIT_ONLY,"auc=0.437 低于 0.51, 证据弱"
post_target,d1_close_location,(d1_close - d1_low) / (d1_high - d1_low),1,0.9866,0.4364681295715778,down,down,1.0,0.9245226563381406,桶率 0.55 0.31,桶尾 0.33 0.34,AUDIT_ONLY,"auc=0.436 低于 0.51, 证据弱"
post_target,d1_close_to_vwap_raw,d1_close / d1_vwap - 1,1,1.0,0.42478283315750487,down,down,1.0,0.9245226563381406,桶率 0.37 0.28,桶尾 0.33 0.36,AUDIT_ONLY,"auc=0.425 低于 0.51, 证据弱"
post_tail,d1_close_to_vwap_raw,d1_close / d1_vwap - 1,1,1.0,0.5336767475351722,up,down,0.6666666666666666,0.9245226563381406,桶率 0.37 0.28,桶尾 0.33 0.36,ADMIT_PRIMARY,auc=0.534 方向一致率=0.67
post_tail,break_touched_limit_up,break_high >= 涨停价 - 0.011,1,1.0,0.5281821203057494,up,down,0.6666666666666666,0.324072262080895,桶率 0.33 0.34,桶尾 0.33 0.41,ADMIT_PRIMARY,"补充: auc=0.528 方向一致率=0.67 (为达到最低 4 因子表达; 证据弱, 需 walk-forward 验证)"
post_tail,ma5_above_5_hinge,"max(d1_close_to_ma5_raw - 0.05, 0)",1,1.0,0.5277390052066024,flat,up,0.6666666666666666,0.7929025954629041,桶率 0.36 0.27,桶尾 0.33 0.38,ADMIT_PRIMARY,"补充: auc=0.528 方向一致率=0.67 (为达到最低 4 因子表达; 证据弱, 需 walk-forward 验证)"
post_tail,late_day_sell_volume_ratio,Σvol(time>=14:00 & close<open) / Σvol,1,1.0,0.5251578597540711,flat,up,0.6666666666666666,0.29216916678438043,桶率 0.59 0.32,桶尾 0.26 0.35,ADMIT_PRIMARY,"补充: auc=0.525 方向一致率=0.67 (为达到最低 4 因子表达; 证据弱, 需 walk-forward 验证)"
post_tail,ma5_above_10_hinge,"max(d1_close_to_ma5_raw - 0.10, 0)",1,1.0,0.5238395923341088,flat,up,0.6666666666666666,0.6094183645652125,桶率 0.33 0.32,桶尾 0.33 0.47,ADMIT_ALTERNATIVE,"auc=0.524 中等, 作备用"
post_tail,break_volume_distance_from_one,abs(log(break_volume_ratio_vs_board_days)),1,1.0,0.5222222222222223,up,up,1.0,0.9593070351297045,桶率 0.33,桶尾 0.34,ADMIT_ALTERNATIVE,"auc=0.522 中等, 作备用"
post_tail,break_volume_ratio_vs_board_days,break_volume / mean(板日volume),1,1.0,0.518278497839814,up,up,1.0,1.0,桶率 0.33,桶尾 0.34,ADMIT_ALTERNATIVE,"auc=0.518 中等, 作备用"
post_tail,break_volume_log_ratio,"log(max(break_volume_ratio_vs_board_days, 1e-9))",1,1.0,0.518278497839814,up,up,1.0,1.0,桶率 0.47 0.32,桶尾 0.25 0.35,ADMIT_ALTERNATIVE,"auc=0.518 中等, 作备用"
post_tail,d1_oc_return_clipped,"clip(d1_open_to_close_return_raw, -0.10, 0.10)",1,1.0,0.5163841807909605,up,down,0.6666666666666666,0.9999766436107932,桶率 0.36 0.30,桶尾 0.34 0.35,ADMIT_ALTERNATIVE,"auc=0.516 中等, 作备用"
post_tail,d1_open_to_close_return_raw,d1_close / d1_open - 1,1,1.0,0.516295557771131,up,down,0.6666666666666666,0.9999766436107932,桶率 0.36 0.30,桶尾 0.34 0.35,ADMIT_ALTERNATIVE,"auc=0.516 中等, 作备用"
post_tail,d1_close_location,(d1_close - d1_low) / (d1_high - d1_low),1,0.9866,0.5159873466693976,up,down,0.6666666666666666,0.9245226563381406,桶率 0.55 0.31,桶尾 0.33 0.34,ADMIT_ALTERNATIVE,"与已准入因子 |spearman|=0.92 > 0.85, 高度相关作备用"
post_tail,d1_repair_above_2_hinge,"max(d1_open_to_close_return_raw - 0.02, 0)",1,1.0,0.5152542372881356,up,up,0.6666666666666666,0.8014862988374646,桶率 0.36 0.27,桶尾 0.33 0.36,ADMIT_ALTERNATIVE,"auc=0.515 中等, 作备用"
