event_id,code,signal_date,break_date,stage_group,days_since_break,exclusion_reason
002989_2026-06-22,002989,2026-06-23,2026-06-22,post,1,not_d1_first_break_observation
600110_2026-06-18,600110,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
600186_2026-06-18,600186,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
600192_2026-06-18,600192,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
600615_2026-06-18,600615,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
601636_2026-06-18,601636,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
603002_2026-06-18,603002,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
603115_2026-06-18,603115,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
603186_2026-06-18,603186,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
603261_2026-06-22,603261,2026-06-23,2026-06-22,post,1,not_d1_first_break_observation
603324_2026-06-22,603324,2026-06-23,2026-06-22,post,1,not_d1_first_break_observation
603773_2026-06-18,603773,2026-06-23,2026-06-18,post,2,not_d1_first_break_observation
000657_2026-06-23,000657,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
000811_2026-06-23,000811,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
001296_2026-06-23,001296,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
002141_2026-06-22,002141,2026-06-24,2026-06-22,post,2,not_d1_first_break_observation
002297_2026-06-23,002297,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
002579_2026-06-22,002579,2026-06-24,2026-06-22,post,2,not_d1_first_break_observation
002655_2026-06-23,002655,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
002805_2026-06-23,002805,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
002842_2026-06-23,002842,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
002989_2026-06-22,002989,2026-06-24,2026-06-22,post,2,not_d1_first_break_observation
003031_2026-06-23,003031,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
600162_2026-06-23,600162,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
600769_2026-06-23,600769,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
603082_2026-06-23,603082,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
603261_2026-06-22,603261,2026-06-24,2026-06-22,post,2,not_d1_first_break_observation
603380_2026-06-23,603380,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
603663_2026-06-23,603663,2026-06-24,2026-06-23,post,1,not_d1_first_break_observation
000070_2026-06-24,000070,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
000571_2026-06-24,000571,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
000657_2026-06-23,000657,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
000811_2026-06-23,000811,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
001296_2026-06-23,001296,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
002297_2026-06-23,002297,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
002354_2026-06-23,002354,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
002655_2026-06-23,002655,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
002672_2026-06-24,002672,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
002805_2026-06-23,002805,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
002830_2026-06-24,002830,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
003031_2026-06-23,003031,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
600162_2026-06-23,600162,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
600172_2026-06-24,600172,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
600322_2026-06-24,600322,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
600400_2026-06-24,600400,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
600470_2026-06-24,600470,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
600769_2026-06-23,600769,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
600851_2026-06-24,600851,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
601869_2026-06-24,601869,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
603082_2026-06-23,603082,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
603380_2026-06-23,603380,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
603663_2026-06-23,603663,2026-06-25,2026-06-23,post,2,not_d1_first_break_observation
603757_2026-06-24,603757,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
605377_2026-06-24,605377,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
605580_2026-06-24,605580,2026-06-25,2026-06-24,post,1,not_d1_first_break_observation
000070_2026-06-24,000070,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
000566_2026-06-25,000566,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
000571_2026-06-24,000571,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
000783_2026-06-24,000783,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
002068_2026-06-24,002068,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
002580_2026-06-25,002580,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
002584_2026-06-25,002584,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
