scope,signal_date,feature,group_a_count,group_b_count,group_a_mean,group_b_mean,mean_difference_a_minus_b,group_a_median,group_b_median,median_difference_a_minus_b,group_a_q25,group_b_q25,q25_difference_a_minus_b,group_a_q75,group_b_q75,q75_difference_a_minus_b,daily_comparable_dates,daily_nonzero_direction_dates,daily_a_greater_than_b_rate,daily_direction_consistency_rate,persistent_extreme_signal_bool
daily,2026-07-06,low_absorb_width_pct,6,0,3.6650823704618696,,,3.7828983856774134,,,3.262724009133644,,,4.351251336044809,,,,,,,
daily,2026-07-07,low_absorb_width_pct,5,0,3.1793007483261966,,,3.651488146150106,,,2.7968761752124482,,,3.747465420525309,,,,,,,
daily,2026-07-08,low_absorb_width_pct,4,3,3.5006917853175783,2.547916565890248,0.9527752194273305,4.010491833834973,2.994745785407571,1.0157460484274017,2.815761625751029,2.1465382515281517,0.6692233742228773,4.6954219934015216,3.1727094900110053,1.5227125033905162,,,,,
overall,ALL,low_absorb_width_pct,39,18,3.1051986902404773,3.159038824309727,-0.05384013406924959,3.319148936170224,3.572398030876056,-0.2532490947058319,2.1556560218932597,1.722434484588442,0.4332215373048176,4.2267821348597305,3.961359144665183,0.26542299019454774,7.0,7.0,0.42857142857142855,0.5714285714285714,False
daily,2026-06-26,invalid_distance_pct,4,3,3.9984561587192986,4.356227326216426,-0.35777116749712734,4.068884786418292,4.575189791388512,-0.50630500497022,3.5412644787644663,4.065205186855502,-0.5239407080910361,4.526076466373125,4.756730698163391,-0.23065423179026645,,,,,
daily,2026-06-29,invalid_distance_pct,5,2,2.5558633464397302,4.144358184611874,-1.5884948381721435,2.7815468113975506,4.144358184611874,-1.3628113732143232,1.2963135720048369,3.8819434020702426,-2.5856298300654057,3.7374267301119035,4.406772967153505,-0.6693462370416015,,,,,
daily,2026-06-30,invalid_distance_pct,3,1,3.0379104837661153,1.1022424933485375,1.9356679904175778,2.324494022283452,1.1022424933485375,1.2222515289349145,2.2115947139210723,1.1022424933485375,1.1093522205725348,3.5075180228698266,1.1022424933485375,2.405275529521289,,,,,
daily,2026-07-01,invalid_distance_pct,3,5,2.3073584130575884,3.1032879358184573,-0.7959295227608689,2.9816513761467878,3.5895754794296186,-0.6079241032828309,1.4908256880733939,1.116751269035543,0.3740744190378509,3.4610376195863823,3.728433857788449,-0.2673962382020667,,,,,
daily,2026-07-02,invalid_distance_pct,5,2,3.5206951337823655,1.6632450033501667,1.8574501304321989,3.319148936170224,1.6632450033501667,1.6559039328200575,3.244772979667565,0.975853270905852,2.268919708761713,4.336043360433606,2.350636735794481,1.9854066246391247,,,,,
daily,2026-07-03,invalid_distance_pct,4,2,1.7001400218118357,3.9581893064450813,-2.2580492846332456,1.459661765153586,3.9581893064450813,-2.4985275412914953,1.060333050475143,3.9550194682249797,-2.8946864177498366,2.0994687364902784,3.961359144665183,-1.8618904081749044,,,,,
daily,2026-07-06,invalid_distance_pct,6,0,3.6650823704618696,,,3.7828983856774134,,,3.262724009133644,,,4.351251336044809,,,,,,,
daily,2026-07-07,invalid_distance_pct,5,0,3.1793007483261966,,,3.651488146150106,,,2.7968761752124482,,,3.747465420525309,,,,,,,
daily,2026-07-08,invalid_distance_pct,4,3,3.5006917853175783,2.547916565890248,0.9527752194273305,4.010491833834973,2.994745785407571,1.0157460484274017,2.815761625751029,2.1465382515281517,0.6692233742228773,4.6954219934015216,3.1727094900110053,1.5227125033905162,,,,,
overall,ALL,invalid_distance_pct,39,18,3.1051986902404773,3.159038824309727,-0.05384013406924959,3.319148936170224,3.572398030876056,-0.2532490947058319,2.1556560218932597,1.722434484588442,0.4332215373048176,4.2267821348597305,3.961359144665183,0.26542299019454774,7.0,7.0,0.42857142857142855,0.5714285714285714,False
daily,2026-06-26,days_since_d0,4,3,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,
daily,2026-06-29,days_since_d0,5,2,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,,,,,
daily,2026-06-30,days_since_d0,3,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,
daily,2026-07-01,days_since_d0,3,5,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,,,,
daily,2026-07-02,days_since_d0,5,2,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,1.5,-0.5,1.0,2.5,-1.5,,,,,
daily,2026-07-03,days_since_d0,4,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,
daily,2026-07-06,days_since_d0,6,0,3.0,,,3.0,,,3.0,,,3.0,,,,,,,
daily,2026-07-07,days_since_d0,5,0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,
daily,2026-07-08,days_since_d0,4,3,1.5,1.6666666666666667,-0.16666666666666674,1.5,2.0,-0.5,1.0,1.5,-0.5,2.0,2.0,0.0,,,,,
overall,ALL,days_since_d0,39,18,1.6923076923076923,1.7222222222222223,-0.02991452991453003,1.0,2.0,-1.0,1.0,1.0,0.0,3.0,2.0,1.0,7.0,2.0,0.0,1.0,False
daily,2026-06-26,abs_d1_low_ma10_pct,4,3,15.996075,17.386166666666664,-1.390091666666665,16.3415,16.1074,0.23410000000000153,15.013650000000002,14.965049999999998,0.04860000000000397,17.323925,19.1679,-1.8439750000000004,,,,,
daily,2026-06-29,abs_d1_low_ma10_pct,5,2,15.923079999999999,8.865,7.058079999999999,14.7216,8.865,5.8566,11.4425,8.3003,3.1422000000000008,17.8541,9.4297,8.424399999999999,,,,,
daily,2026-06-30,abs_d1_low_ma10_pct,3,1,14.520833333333334,8.872,5.648833333333334,14.3884,8.872,5.516400000000001,11.92195,8.872,3.049950000000001,17.0535,8.872,8.1815,,,,,
daily,2026-07-01,abs_d1_low_ma10_pct,3,5,15.115,12.8893,2.2257,14.2227,13.9754,0.2472999999999992,13.152249999999999,12.5521,0.6001499999999993,16.6316,15.2933,1.3382999999999985,,,,,
daily,2026-07-02,abs_d1_low_ma10_pct,5,2,12.87388,15.813400000000001,-2.9395200000000017,12.9324,15.813400000000001,-2.881000000000002,11.1337,13.9802,-2.8465000000000007,13.5385,17.6466,-4.1080999999999985,,,,,
daily,2026-07-03,abs_d1_low_ma10_pct,4,2,11.433875,8.80265,2.6312250000000006,10.658249999999999,8.80265,1.855599999999999,9.3095,7.9750250000000005,1.3344749999999994,12.782625,9.630275000000001,3.1523499999999984,,,,,
daily,2026-07-06,abs_d1_low_ma10_pct,6,0,13.078250000000002,,,11.67655,,,9.223324999999999,,,14.52285,,,,,,,
daily,2026-07-07,abs_d1_low_ma10_pct,5,0,13.994620000000001,,,12.0446,,,10.4455,,,12.4094,,,,,,,
daily,2026-07-08,abs_d1_low_ma10_pct,4,3,10.865025000000001,6.479733333333333,4.385291666666668,8.469999999999999,6.4804,1.9895999999999985,7.7075,6.4174500000000005,1.290049999999999,11.627525,6.542350000000001,5.085175,,,,,
overall,ALL,abs_d1_low_ma10_pct,39,18,13.705507692307691,11.771016666666668,1.934491025641023,12.1911,11.30245,0.8886500000000002,10.5528,7.29445,3.258349999999999,16.3415,14.963825,1.377675,7.0,7.0,0.7142857142857143,0.7142857142857143,True
daily,2026-06-26,abs_d1_close_ma10_pct,4,3,22.337775,23.41293333333333,-1.0751583333333308,23.267699999999998,24.7509,-1.4832000000000036,17.596825,21.52745,-3.9306250000000027,28.00865,25.9674,2.041249999999998,,,,,
daily,2026-06-29,abs_d1_close_ma10_pct,5,2,22.78662,14.652099999999999,8.13452,22.5046,14.652099999999999,7.852500000000001,12.174,13.031949999999998,-0.8579499999999989,23.6801,16.27225,7.40785,,,,,
