factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
support_score,executed_realized_d3,executed_only,4,33,91.0,91.0,91.0,1.2933,0.6818,-1.5244,7.0,0.303,0.0,0.1212,0.1515,-0.3617,3.6366
support_score,executed_realized_d3,executed_only,5,33,91.0,91.0,91.0,-0.5897,-1.3393,-5.0619,1.8441,0.1818,0.0,0.303,0.0909,-2.4288,2.7753
theme_score,all_opportunity_d3_max,all_candidates,1,591,45.0,60.0,51.3959,5.4819,4.0863,1.5505,8.6918,0.3215,0.1844,0.0118,0.3215,-0.402,5.4819
theme_score,all_opportunity_d3_max,all_candidates,2,590,60.0,60.0,60.0,6.0106,4.8324,1.7144,9.3944,0.361,0.2119,0.0136,0.361,0.6371,6.0106
theme_score,all_opportunity_d3_max,all_candidates,3,590,60.0,70.0,69.8136,6.4709,5.2312,2.0851,9.9704,0.3949,0.239,0.0203,0.3949,1.4513,6.4709
theme_score,all_opportunity_d3_max,all_candidates,4,590,70.0,70.0,70.0,7.1627,6.3565,2.3081,10.4814,0.4508,0.2915,0.0068,0.4508,2.5735,7.1627
theme_score,all_opportunity_d3_max,all_candidates,5,591,70.0,70.0,70.0,5.748,4.7691,1.5012,9.143,0.3706,0.1895,0.0068,0.3706,-0.1631,5.748
theme_score,all_primary_d3_close,all_candidates,1,591,45.0,60.0,51.3959,-0.402,-1.2563,-5.4055,4.1664,0.1523,0.0812,0.3976,0.3215,-0.402,5.4819
theme_score,all_primary_d3_close,all_candidates,2,590,60.0,60.0,60.0,0.6371,-0.5238,-4.7927,5.213,0.1932,0.1153,0.3576,0.361,0.6371,6.0106
theme_score,all_primary_d3_close,all_candidates,3,590,60.0,70.0,69.8136,1.4513,0.7401,-4.0023,5.871,0.2271,0.1559,0.3,0.3949,1.4513,6.4709
theme_score,all_primary_d3_close,all_candidates,4,590,70.0,70.0,70.0,2.5735,1.6031,-3.0594,7.4627,0.261,0.1729,0.2542,0.4508,2.5735,7.1627
theme_score,all_primary_d3_close,all_candidates,5,591,70.0,70.0,70.0,-0.1631,-1.0057,-5.6262,4.3173,0.1658,0.0964,0.3909,0.3706,-0.1631,5.748
theme_score,executed_realized_d3,executed_only,1,33,45.0,60.0,57.2727,2.1574,2.3074,-1.3189,7.0,0.4242,0.0,0.1212,0.303,0.3701,5.2499
theme_score,executed_realized_d3,executed_only,2,33,60.0,70.0,65.7576,1.3308,0.5473,-2.0323,7.0,0.3333,0.0,0.1515,0.303,-0.5882,4.7486
theme_score,executed_realized_d3,executed_only,3,33,70.0,70.0,70.0,1.3209,0.6818,-2.0885,7.0,0.3636,0.0,0.1818,0.2121,0.4654,4.2167
theme_score,executed_realized_d3,executed_only,4,33,70.0,70.0,70.0,-0.7001,-1.4867,-5.8915,7.0,0.303,0.0,0.4242,0.2121,-3.2004,4.3888
theme_score,executed_realized_d3,executed_only,5,33,70.0,70.0,70.0,-2.0791,-2.0276,-5.3042,1.2912,0.0606,0.0,0.3939,0.0909,-3.2825,1.6527
total_score,all_opportunity_d3_max,all_candidates,1,591,19.55,49.5,39.1464,5.1201,3.536,1.3836,7.7622,0.2927,0.1709,0.0152,0.2927,0.159,5.1201
total_score,all_opportunity_d3_max,all_candidates,2,590,49.55,61.95,56.4241,6.4891,5.0873,2.0058,9.9948,0.3915,0.2475,0.0102,0.3915,1.3941,6.4891
total_score,all_opportunity_d3_max,all_candidates,3,590,62.0,71.0,66.5607,6.1624,4.8301,1.722,9.7067,0.3644,0.2169,0.0034,0.3644,0.7819,6.1624
total_score,all_opportunity_d3_max,all_candidates,4,590,71.05,78.5,75.0535,6.4576,5.5204,2.0088,9.9647,0.4017,0.2356,0.0102,0.4017,0.9232,6.4576
total_score,all_opportunity_d3_max,all_candidates,5,591,78.55,89.75,82.9591,6.6442,5.873,2.206,9.9986,0.4484,0.2453,0.0203,0.4484,0.836,6.6442
total_score,all_primary_d3_close,all_candidates,1,591,19.55,49.5,39.1464,0.159,-0.798,-4.8703,4.454,0.1675,0.0998,0.3689,0.2927,0.159,5.1201
total_score,all_primary_d3_close,all_candidates,2,590,49.55,61.95,56.4241,1.3941,0.3069,-4.0603,6.2406,0.222,0.139,0.3186,0.3915,1.3941,6.4891
total_score,all_primary_d3_close,all_candidates,3,590,62.0,71.0,66.5607,0.7819,-0.4874,-4.6432,5.2544,0.1949,0.1254,0.3525,0.3644,0.7819,6.1624
total_score,all_primary_d3_close,all_candidates,4,590,71.05,78.5,75.0535,0.9232,0.1444,-4.5622,5.4875,0.2034,0.1305,0.3288,0.4017,0.9232,6.4576
total_score,all_primary_d3_close,all_candidates,5,591,78.55,89.75,82.9591,0.836,0.4587,-4.8158,5.9542,0.2115,0.1269,0.3316,0.4484,0.836,6.6442
total_score,executed_realized_d3,executed_only,1,33,70.25,74.45,72.9667,0.423,0.6976,-2.0885,7.0,0.3333,0.0,0.2424,0.3636,0.4183,5.7287
total_score,executed_realized_d3,executed_only,2,33,74.45,77.75,76.297,0.7161,0.7627,-3.1108,7.0,0.3333,0.0,0.303,0.2424,0.1843,4.863
total_score,executed_realized_d3,executed_only,3,33,77.75,80.25,78.9561,-0.8183,-2.0033,-5.3042,2.0452,0.2121,0.0,0.303,0.1515,-3.435,2.589
total_score,executed_realized_d3,executed_only,4,33,80.25,83.95,82.1985,1.0443,-0.5532,-2.8579,7.0,0.3636,0.0,0.2424,0.2727,-0.7241,4.6146
total_score,executed_realized_d3,executed_only,5,33,83.95,89.75,85.9773,0.6649,0.2023,-1.9323,2.6256,0.2424,0.0,0.1818,0.0909,-2.679,2.4614
