event_id,code,signal_date,board_streak_before_break,missing_reason,expected_bars,actual_bars,first_timestamp,last_timestamp,duplicate_bars,invalid_price_volume,daily_label_complete,d1_daily_complete,d1_minute_complete,raw_path,recoverable,minute_cache_path
002432_2026-05-26,002432,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002432_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002432_5min.pkl
002938_2026-05-26,002938,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002938_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002938_5min.pkl
002975_2026-05-26,002975,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002975_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002975_5min.pkl
002980_2026-05-26,002980,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002980_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002980_5min.pkl
600186_2026-05-26,600186,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600186_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600186_5min.pkl
600539_2026-05-26,600539,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600539_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600539_5min.pkl
603256_2026-05-26,603256,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603256_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603256_5min.pkl
603661_2026-05-26,603661,2026-05-26,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603661_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603661_5min.pkl
603663_2026-05-26,603663,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603663_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603663_5min.pkl
603936_2026-05-26,603936,2026-05-26,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603936_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603936_5min.pkl
000510_2026-05-27,000510,2026-05-27,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000510_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000510_5min.pkl
002388_2026-05-27,002388,2026-05-27,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002388_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002388_5min.pkl
002552_2026-05-27,002552,2026-05-27,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002552_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002552_5min.pkl
002585_2026-05-27,002585,2026-05-27,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002585_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002585_5min.pkl
002957_2026-05-27,002957,2026-05-27,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002957_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002957_5min.pkl
003036_2026-05-27,003036,2026-05-27,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\003036_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\003036_5min.pkl
600172_2026-05-27,600172,2026-05-27,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600172_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600172_5min.pkl
600584_2026-05-27,600584,2026-05-27,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600584_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600584_5min.pkl
002579_2026-05-29,002579,2026-05-29,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002579_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002579_5min.pkl
603989_2026-05-29,603989,2026-05-29,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603989_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603989_5min.pkl
