signal_date,code,future_fetch_end_date,eval_days,status,error
2026-06-09,001238,2026-06-29,40,failed,"001238 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.33999999999999986"
2026-06-09,001317,2026-06-29,40,failed,"001317 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.23000000000000398"
2026-06-09,001696,2026-06-29,40,failed,"001696 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.09999999999999787"
2026-06-09,002046,2026-06-29,40,failed,"002046 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=1.3199999999999932"
2026-06-09,002164,2026-06-29,40,ok,
2026-06-09,002362,2026-06-29,40,failed,"002362 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.13000000000000078"
2026-06-09,002490,2026-06-29,40,ok,
2026-06-09,002636,2026-06-29,40,failed,"002636 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=4.549999999999997"
2026-06-09,002747,2026-06-29,40,failed,"002747 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.1600000000000037"
2026-06-09,002931,2026-06-29,40,failed,"002931 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000426"
2026-06-09,002963,2026-06-29,40,ok,
2026-06-09,002982,2026-06-29,40,ok,
2026-06-09,600280,2026-06-29,40,ok,
2026-06-09,600488,2026-06-29,40,ok,
2026-06-09,600505,2026-06-29,40,failed,"600505 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.02999999999999936"
2026-06-09,600539,2026-06-29,40,failed,"600539 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.6500000000000004"
2026-06-09,600721,2026-06-29,40,ok,
2026-06-09,600825,2026-06-29,40,failed,"600825 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03000000000000025"
2026-06-09,601588,2026-06-29,40,ok,
2026-06-09,603186,2026-06-29,40,failed,"603186 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=5.02000000000001"
2026-06-09,603203,2026-06-29,40,failed,"603203 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=3.5"
2026-06-09,603206,2026-06-29,40,failed,"603206 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14000000000000057"
2026-06-09,603278,2026-06-29,40,failed,"603278 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.049999999999998934"
2026-06-09,603616,2026-06-29,40,failed,"603616 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.10999999999999943"
2026-06-09,603669,2026-06-29,40,failed,"603669 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999961"
2026-06-09,603778,2026-06-29,40,failed,"603778 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.15000000000000036"
2026-06-09,603877,2026-06-29,40,failed,"603877 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999872"
2026-06-09,603929,2026-06-29,40,failed,"603929 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.509999999999991"
2026-06-09,000029,2026-06-29,40,failed,"000029 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.33000000000000185"
2026-06-09,000037,2026-06-29,40,failed,"000037 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999872"
2026-06-09,000048,2026-06-29,40,failed,"000048 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.35999999999999943"
2026-06-09,000158,2026-06-29,40,failed,"000158 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.10999999999999943"
2026-06-09,000509,2026-06-29,40,failed,"000509 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-09,000571,2026-06-29,40,failed,"000571 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.09999999999999964"
