event_id,signal_date,code,candidate_count,stage1_rank,stage1_strength,stage1_top10,closing_completion_gap,strength_x_gap,binary_pair_score,binary_pair_rank,capped_pair_score,capped_pair_rank,raw_pair_score,raw_pair_rank,target7,raw_return,capped_return_7
002362_2026-06-10,2026-06-10,002362,7,6,0.166666666667,True,0.464285714286,0.077380952381,0.0837944424747,6,0.0107101422915,5,0.00463667233508,6,0,-0.0082219938335,-0.0082219938335
002254_2026-06-10,2026-06-10,002254,7,7,0,True,0.607142857143,0,0.04117593958,7,0.0127142544326,4,0.00222936522615,7,1,0.0754173862982,0.07
002636_2026-06-11,2026-06-11,002636,10,1,1,True,0.05,0.05,0.255489478199,1,0.0180647959511,1,0.0130908303804,1,1,0.0890098899878,0.07
605318_2026-06-11,2026-06-11,605318,10,2,0.888888888889,True,0.152777777778,0.135802469136,0.240928671955,2,0.0162826652608,3,0.0127770312055,2,0,0.0456747404844,0.0456747404844
605006_2026-06-11,2026-06-11,605006,10,3,0.777777777778,True,0.255555555556,0.198765432099,0.223936303374,3,0.0150133231961,7,0.0121580912625,3,0,0.012037037037,0.012037037037
605589_2026-06-11,2026-06-11,605589,10,4,0.666666666667,True,0.461111111111,0.307407407407,0.2156974332,4,0.0148778978394,8,0.0120737009349,4,1,0.0872881355932,0.07
603065_2026-06-11,2026-06-11,603065,10,5,0.555555555556,True,0.4375,0.243055555556,0.180366639294,5,0.0138114119611,9,0.00984693718086,5,0,0.0286764705882,0.0286764705882
002585_2026-06-11,2026-06-11,002585,10,6,0.444444444444,True,0.713888888889,0.317283950617,0.171145199656,6,0.0159369342217,4,0.00925058031817,6,0,0.0257648953301,0.0257648953301
000029_2026-06-11,2026-06-11,000029,10,7,0.333333333333,True,0.794444444444,0.264814814815,0.141022421694,7,0.0167923359766,2,0.00710581690893,7,0,0.0117970900511,0.0117970900511
003026_2026-06-11,2026-06-11,003026,10,8,0.222222222222,True,0.716666666667,0.159259259259,0.0992546257918,8,0.0155128368162,5,0.00436847548432,8,0,-0.0459548706659,-0.0459548706659
603002_2026-06-11,2026-06-11,603002,10,9,0.111111111111,True,0.433333333333,0.0481481481481,0.0491146213156,9,0.0100390821056,10,0.00170837447112,9,0,0.0673719376392,0.0673719376392
002669_2026-06-11,2026-06-11,002669,10,10,0,True,0.734722222222,0,0.0278109149235,10,0.0154374635735,6,-0.000541380892769,10,0,-0.00120481927711,-0.00120481927711
002119_2026-06-12,2026-06-12,002119,8,1,1,True,0.40625,0.40625,0.332818090156,1,0.0192985685332,1,0.020302904735,1,0,0.0543580131209,0.0543580131209
000048_2026-06-12,2026-06-12,000048,8,2,0.857142857143,True,0.65625,0.5625,0.321392274694,2,0.0177101811403,2,0.0197608117612,2,0,-0.0215053763441,-0.0215053763441
002409_2026-06-12,2026-06-12,002409,8,3,0.714285714286,True,0.4375,0.3125,0.245953922453,3,0.0161977782018,4,0.0145725295311,3,1,0.0771077107711,0.07
