event_id,code,signal_date,board_streak_before_break,D0,d1_close_to_ma5_raw,d1_close_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,d1_low_to_close_recovery,d1_close_location,d1_close_to_vwap_raw,d1_high_to_close_drawdown_raw,d1_afternoon_return,d1_last_hour_return,intraday_low_time_fraction,d1_up_bar_volume_ratio,down_bar_volume_ratio,late_day_sell_volume_ratio,high_zone_volume_ratio,amount_above_d1_close_ratio,volume_above_d1_close_ratio,post_low_volume_share,tier_cohort_size,tier_peer_count_ex_self,tier_peer_advance_count_d1,tier_peer_advance_rate_d1,tier_peer_break_count_d1,tier_peer_break_rate_d1,tier_peer_mean_d1_close_return,tier_peer_max_d1_close_return,subject_d1_close_return_vs_tier_mean,subject_d1_close_return_percentile_in_tier
001339_2026-06-22,001339,2026-06-22,2,2026-06-18,0.131689727753,0.219147275296,0.240514588032,0.0619057215617,0.027990599744,0.356670113754,0.04,0.977655172414,0.04952,1,0.0220333795973,0,0.0314490132872,0.0245216712222,0.340425531915,0.577221960955,0.422778039045,0.0558580713536,0.0566501726129,0.0182520427702,0.0178866801047,0.400882625575,6,5,1,0.2,4,0.8,0.0459566480713,0.100074682599,-0.010329035293,0.25
002141_2026-06-22,002141,2026-06-22,3,2026-06-18,0.0755258126195,0.198083067093,0.263867434349,0.0619289340102,0.0375690607735,0.323529411765,0.0657142857143,0.643979057592,0.0180995475113,0.105263157895,-0.0370338110846,0.131274131274,-0.00662251655629,0.00446428571429,0.36170212766,0.220399025006,0.620297582827,0.0474588027281,0,0.824801610954,0.817223937141,0.251820578643,4,3,2,0.666666666667,1,0.333333333333,0.0782624208367,0.1,-0.0921363060734,0.125
002491_2026-06-22,002491,2026-06-22,2,2026-06-18,0.17630777747,0.271979049757,0.345868381989,0.0845778611632,0.0355648535565,0.413133832086,0.0966971746916,0.939294503692,0.0439054344489,0.658986175115,0.0115031860961,0.02130109384,0.017354877319,0.0204081632653,0.382978723404,0.392567320966,0.607432679034,0.0530557926281,0.250818808662,0.279007607586,0.273840016674,0.332672286079,6,5,1,0.2,4,0.8,0.0373428534204,0.100074682599,0.0327399379614,0.75
002579_2026-06-22,002579,2026-06-22,2,2026-06-18,0.135704308585,0.223096505439,0.201785054433,0.0694013558543,0.0143787780973,0.382603008502,0.0756200846945,0.876967095851,0.0698380566802,0.627272727273,0.016015431317,0.0373406193078,0.0506958250497,0.0388206388206,0.404255319149,0.307012388107,0.678584976571,0.0845203918864,0,0.0849732699274,0.0835120510626,0.29985486668,6,5,1,0.2,4,0.8,0.0445981430735,0.100074682599,-0.003536510304,0.416666666667
002989_2026-06-22,002989,2026-06-22,3,2026-06-18,0.144353693182,0.260717895217,0.285251350229,0.0757672227174,0.0322048727958,0.429046563193,0.0754847645429,0.973962571196,0.104857142857,0.922110552764,0.0466840930566,0.0079527963058,0.0219344608879,0.0187038988409,0.0212765957447,0.495148757736,0.497251429298,0.0508834878154,0.247095450465,0.112817258025,0.107750819423,0.819256141862,4,3,2,0.666666666667,1,0.333333333333,0.051804670913,0.1,-0.0127630563022,0.375
603261_2026-06-22,603261,2026-06-22,2,2026-06-18,0.140783815481,0.255512530924,0.286349923546,0.0672786064462,0.0382199391384,0.407172995781,0.099173553719,0.872891566265,0.157698983387,0.750885478158,0.0226232824962,0.043237704918,-0.00975609756098,0.0132378472222,0,0.414263636029,0.58336896979,0.0566022426971,0.213345259261,0.168476406252,0.164964330902,1,6,5,1,0.2,4,0.8,0.0440918370017,0.100074682599,-0.00100497994498,0.583333333333
603324_2026-06-22,603324,2026-06-22,2,2026-06-18,0.0775417611879,0.190611826364,0.255255255255,0.0432444061962,0.034230837212,0.235589713272,0.126578876646,0.782935153584,0.0513078470825,0.392307692308,-0.00487128486292,0.0702846975089,0.0255152109912,0.020009760859,0.553191489362,0.392210925677,0.607789074323,0.0598467276033,0,0.630652215259,0.620997714348,0.242296523484,6,5,1,0.2,4,0.8,0.0587014918138,0.100074682599,-0.0740532540057,0.0833333333333
000657_2026-06-23,000657,2026-06-23,2,2026-06-22,0.0430659014125,0.166243784774,0.312310755187,0.0327910203052,0.0409565207092,0.29746835443,0.0750711574953,0.700078308536,0.0131461895819,0.103744149766,-0.0354877828881,0.100798315642,-0.0330188679245,0.00126990329198,0.808510638298,0.335411784208,0.630954487199,0.149401379729,0.12479412018,0.882482641845,0.877834155282,0.150091641847,18,17,5,0.294117647059,12,0.705882352941,0.02418704288,0.100050787202,-0.0736705232152,0.0833333333333
000811_2026-06-23,000811,2026-06-23,3,2026-06-22,0.129615674454,0.253903635958,0.325317183148,0.0591709679136,0.0459330980781,0.461488462788,0.0945915365467,0.876219512195,0.118656716418,0.707715133531,0.0338365591089,0.0419684703877,0.0753228120516,0.0121539500338,0.063829787234,0.411385491394,0.580424147737,0.0614641936433,0.0722098640304,0.09167624633,0.088349378991,0.710416824623,1,0,0,0,0,0,,,0,0.5
001296_2026-06-23,001296,2026-06-23,2,2026-06-22,0.053785442853,0.0988620199147,0.0868254446789,0.0249675421951,0.0135420421194,0.145656779661,0.0622748327329,0.645833333333,0.0107476635514,0.112195121951,-0.0321928526155,0.0776119402985,-0.0132299270073,-0.0068870523416,0.872340425532,0.459947872615,0.529438791901,0.0880982594551,0.282378353374,0.909750118781,0.906313116627,0.0933262319654,18,17,5,0.294117647059,12,0.705882352941,0.0235958392168,0.100050787202,-0.0636200609402,0.25
