event_id,code,signal_date,board,board_streak_before_break,representation,model_stage,run_type,lambda,score,rank,repair_rank_target,raw_repair_return,capped_opportunity_return_7,target7,fold_test_signal_date,fold_train_signal_dates,fold_train_max_signal_date,model_status
605162_2026-06-05,605162,2026-06-05,2,2,CS_RANK,M0,PERMUTED,10,0.528396125749,2,0.0833333333333,-0.0449915110357,-0.0449915110357,0,2026-06-05,22,2026-06-04,CAPABILITY_SCREEN_ONLY
001896_2026-06-05,001896,2026-06-05,2,2,CS_RANK,M0,PERMUTED,10,0.498426118482,3,0.75,0.0850528434826,0.07,1,2026-06-05,22,2026-06-04,CAPABILITY_SCREEN_ONLY
002787_2026-06-05,002787,2026-06-05,2,2,CS_RANK,M0,PERMUTED,10,0.495039248053,4,0.583333333333,0.0670498084291,0.0670498084291,0,2026-06-05,22,2026-06-04,CAPABILITY_SCREEN_ONLY
600439_2026-06-05,600439,2026-06-05,2,2,CS_RANK,M0,PERMUTED,10,0.485895496658,5,0.25,-0.0113636363636,-0.0113636363636,0,2026-06-05,22,2026-06-04,CAPABILITY_SCREEN_ONLY
600255_2026-06-05,600255,2026-06-05,3,3,CS_RANK,M0,PERMUTED,10,0.443079791293,6,0.916666666667,0.0896551724138,0.07,1,2026-06-05,22,2026-06-04,CAPABILITY_SCREEN_ONLY
600293_2026-06-08,600293,2026-06-08,2,2,CS_RANK,M0,PERMUTED,10,0.53942892143,1,0.166666666667,-0.0172839506173,-0.0172839506173,0,2026-06-08,23,2026-06-05,CAPABILITY_SCREEN_ONLY
000520_2026-06-08,000520,2026-06-08,2,2,CS_RANK,M0,PERMUTED,10,0.519114619833,2,0.5,-0.0109409190372,-0.0109409190372,0,2026-06-08,23,2026-06-05,CAPABILITY_SCREEN_ONLY
003036_2026-06-08,003036,2026-06-08,2,2,CS_RANK,M0,PERMUTED,10,0.485259647508,3,0.833333333333,0.0681933842239,0.0681933842239,0,2026-06-08,23,2026-06-05,CAPABILITY_SCREEN_ONLY
603859_2026-06-09,603859,2026-06-09,2,2,CS_RANK,M0,PERMUTED,10,0.552201652106,1,0.833333333333,0.0640412922959,0.0640412922959,0,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
000068_2026-06-09,000068,2026-06-09,2,2,CS_RANK,M0,PERMUTED,10,0.520358113797,2,0.166666666667,-0.0503978779841,-0.0503978779841,0,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
002421_2026-06-09,002421,2026-06-09,2,2,CS_RANK,M0,PERMUTED,10,0.517473841171,3,0.0555555555556,-0.142105263158,-0.142105263158,0,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
002361_2026-06-09,002361,2026-06-09,2,2,CS_RANK,M0,PERMUTED,10,0.515585559999,4,0.722222222222,0.047323943662,0.047323943662,0,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
003009_2026-06-09,003009,2026-06-09,2,2,CS_RANK,M0,PERMUTED,10,0.504697029531,5,0.388888888889,-0.0131004366812,-0.0131004366812,0,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
002613_2026-06-09,002613,2026-06-09,2,2,CS_RANK,M0,PERMUTED,10,0.491569395686,6,0.277777777778,-0.013698630137,-0.013698630137,0,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
000759_2026-06-09,000759,2026-06-09,2,2,CS_RANK,M0,PERMUTED,10,0.489371782432,7,0.5,0.00649350649351,0.00649350649351,0,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
603500_2026-06-09,603500,2026-06-09,3,3,CS_RANK,M0,PERMUTED,10,0.484893588378,8,0.944444444444,0.0936270653029,0.07,1,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
000517_2026-06-09,000517,2026-06-09,2,2,CS_RANK,M0,PERMUTED,10,0.465634650945,9,0.611111111111,0.0147783251232,0.0147783251232,0,2026-06-09,24,2026-06-08,CAPABILITY_SCREEN_ONLY
603929_2026-06-10,603929,2026-06-10,2,2,CS_RANK,M0,PERMUTED,10,0.560671570799,1,0.642857142857,0.0850540374308,0.07,1,2026-06-10,25,2026-06-09,CAPABILITY_SCREEN_ONLY
603186_2026-06-10,603186,2026-06-10,2,2,CS_RANK,M0,PERMUTED,10,0.548094050854,2,0.785714285714,0.12896813445,0.07,1,2026-06-10,25,2026-06-09,CAPABILITY_SCREEN_ONLY
001696_2026-06-10,001696,2026-06-10,2,2,CS_RANK,M0,PERMUTED,10,0.52564875874,3,0.928571428571,0.202105263158,0.07,1,2026-06-10,25,2026-06-09,CAPABILITY_SCREEN_ONLY
002747_2026-06-10,002747,2026-06-10,2,2,CS_RANK,M0,PERMUTED,10,0.501876908435,4,0.357142857143,0.0194285714286,0.0194285714286,0,2026-06-10,25,2026-06-09,CAPABILITY_SCREEN_ONLY
603616_2026-06-10,603616,2026-06-10,2,2,CS_RANK,M0,PERMUTED,10,0.486736117872,5,0.214285714286,0.0160583941606,0.0160583941606,0,2026-06-10,25,2026-06-09,CAPABILITY_SCREEN_ONLY
002362_2026-06-10,002362,2026-06-10,2,2,CS_RANK,M0,PERMUTED,10,0.482719240458,6,0.0714285714286,-0.0082219938335,-0.0082219938335,0,2026-06-10,25,2026-06-09,CAPABILITY_SCREEN_ONLY
002254_2026-06-10,002254,2026-06-10,3,3,CS_RANK,M0,PERMUTED,10,0.405828716669,7,0.5,0.0754173862982,0.07,1,2026-06-10,25,2026-06-09,CAPABILITY_SCREEN_ONLY
605318_2026-06-11,605318,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.550776582382,1,0.65,0.0456747404844,0.0456747404844,0,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
603065_2026-06-11,603065,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.543923590444,2,0.55,0.0286764705882,0.0286764705882,0,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
605589_2026-06-11,605589,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.532539876173,3,0.85,0.0872881355932,0.07,1,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
605006_2026-06-11,605006,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.528095026489,4,0.35,0.012037037037,0.012037037037,0,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
000029_2026-06-11,000029,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.506510333688,5,0.25,0.0117970900511,0.0117970900511,0,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
603002_2026-06-11,603002,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.502770259429,6,0.75,0.0673719376392,0.0673719376392,0,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
002585_2026-06-11,002585,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.487602552642,7,0.45,0.0257648953301,0.0257648953301,0,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
002636_2026-06-11,002636,2026-06-11,3,3,CS_RANK,M0,PERMUTED,10,0.477724358355,8,0.95,0.0890098899878,0.07,1,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
002669_2026-06-11,002669,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.467450278663,9,0.15,-0.00120481927711,-0.00120481927711,0,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
003026_2026-06-11,003026,2026-06-11,2,2,CS_RANK,M0,PERMUTED,10,0.457267853378,10,0.05,-0.0459548706659,-0.0459548706659,0,2026-06-11,26,2026-06-10,CAPABILITY_SCREEN_ONLY
002119_2026-06-12,002119,2026-06-12,2,2,CS_RANK,M0,PERMUTED,10,0.543421611598,1,0.4375,0.0543580131209,0.0543580131209,0,2026-06-12,27,2026-06-11,CAPABILITY_SCREEN_ONLY
002165_2026-06-12,002165,2026-06-12,2,2,CS_RANK,M0,PERMUTED,10,0.520884081372,2,0.5625,0.0732356857523,0.07,1,2026-06-12,27,2026-06-11,CAPABILITY_SCREEN_ONLY
600665_2026-06-12,600665,2026-06-12,2,2,CS_RANK,M0,PERMUTED,10,0.517550545935,3,0.3125,0.012987012987,0.012987012987,0,2026-06-12,27,2026-06-11,CAPABILITY_SCREEN_ONLY
600378_2026-06-12,600378,2026-06-12,2,2,CS_RANK,M0,PERMUTED,10,0.506359179502,4,0.8125,0.0784588441331,0.07,1,2026-06-12,27,2026-06-11,CAPABILITY_SCREEN_ONLY
002409_2026-06-12,002409,2026-06-12,2,2,CS_RANK,M0,PERMUTED,10,0.493521109704,5,0.6875,0.0771077107711,0.07,1,2026-06-12,27,2026-06-11,CAPABILITY_SCREEN_ONLY
603155_2026-06-12,603155,2026-06-12,2,2,CS_RANK,M0,PERMUTED,10,0.489434646885,6,0.9375,0.087962962963,0.07,1,2026-06-12,27,2026-06-11,CAPABILITY_SCREEN_ONLY
600178_2026-06-12,600178,2026-06-12,2,2,CS_RANK,M0,PERMUTED,10,0.485631679514,7,0.1875,-0.00398803589232,-0.00398803589232,0,2026-06-12,27,2026-06-11,CAPABILITY_SCREEN_ONLY
000048_2026-06-12,000048,2026-06-12,3,3,CS_RANK,M0,PERMUTED,10,0.465806435046,8,0.0625,-0.0215053763441,-0.0215053763441,0,2026-06-12,27,2026-06-11,CAPABILITY_SCREEN_ONLY
002203_2026-06-15,002203,2026-06-15,2,2,CS_RANK,M0,PERMUTED,10,0.541758165365,1,0.5,0.03625,0.03625,0,2026-06-15,28,2026-06-12,CAPABILITY_SCREEN_ONLY
