event_id,signal_date,code,target7,raw_repair_return,capped_opportunity_return_7,control_score,control_rank,curve_score,curve_rank,rank_delta,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_d1_close_vwap_pct,rank_log_candidate_base_price,quad_close_ma10,quad_low_ma10,quad_trend_hold,quad_close_vwap,quad_log_base_price,extreme_strength_count
000510_2026-06-16,2026-06-16,000510,0,-0.0145310435931,-0.0145310435931,0.570419244903,3,0.575006756061,3,0,1,0.714285714286,0.642857142857,1,0.571428571429,1,0.510204081633,0.413265306122,1,0.326530612245,2
603738_2026-06-16,2026-06-16,603738,1,0.129815592478,0.07,0.552230803584,4,0.551092865855,4,0,0.428571428571,0.571428571429,0.642857142857,0.428571428571,0.857142857143,0.183673469388,0.326530612245,0.413265306122,0.183673469388,0.734693877551,0
601696_2026-06-16,2026-06-16,601696,0,-0.0187265917603,-0.0187265917603,0.549260829238,5,0.541897428707,5,0,0.571428571429,0.428571428571,0.642857142857,0.857142857143,0.285714285714,0.326530612245,0.183673469388,0.413265306122,0.734693877551,0.0816326530612,0
603335_2026-06-16,2026-06-16,603335,1,0.111922141119,0.07,0.530453140418,6,0.513145260048,6,0,0.285714285714,0.285714285714,0.642857142857,0.142857142857,0.142857142857,0.0816326530612,0.0816326530612,0.413265306122,0.0204081632653,0.0204081632653,0
000506_2026-06-16,2026-06-16,000506,0,-0.00130975769483,-0.00130975769483,0.514713490714,7,0.501461555542,7,0,0.142857142857,0.142857142857,0.142857142857,0.285714285714,0.428571428571,0.0204081632653,0.0204081632653,0.0204081632653,0.0816326530612,0.183673469388,0
603256_2026-06-17,2026-06-17,603256,1,0.12002451982,0.07,0.593073862637,1,0.604287148331,1,0,0.823529411765,0.941176470588,0.823529411765,0.235294117647,1,0.678200692042,0.885813148789,0.678200692042,0.0553633217993,1,2
605198_2026-06-17,2026-06-17,605198,0,-0.0212765957447,-0.0212765957447,0.590090225555,2,0.600270726917,2,0,1,1,0.588235294118,0.941176470588,0.764705882353,1,1,0.346020761246,0.885813148789,0.584775086505,3
600549_2026-06-17,2026-06-17,600549,1,0.209677419355,0.07,0.578139699328,3,0.579611847328,3,0,0.764705882353,0.823529411765,0.823529411765,0.823529411765,0.647058823529,0.584775086505,0.678200692042,0.678200692042,0.678200692042,0.418685121107,0
605289_2026-06-17,2026-06-17,605289,0,0.065543071161,0.065543071161,0.573353681318,6,0.57644191547,4,-2,0.588235294118,0.705882352941,0.823529411765,0.705882352941,0.823529411765,0.346020761246,0.498269896194,0.678200692042,0.498269896194,0.678200692042,0
002824_2026-06-17,2026-06-17,002824,1,0.144943820225,0.07,0.578036803348,4,0.575752641875,5,1,0.882352941176,0.647058823529,0.823529411765,1,0.470588235294,0.778546712803,0.418685121107,0.678200692042,1,0.221453287197,1
002851_2026-06-17,2026-06-17,002851,1,0.0721357850071,0.07,0.566612674118,7,0.57502143302,6,-1,0.647058823529,0.588235294118,0.823529411765,0.882352941176,0.941176470588,0.418685121107,0.346020761246,0.678200692042,0.778546712803,0.885813148789,1
002515_2026-06-17,2026-06-17,002515,1,0.165371809101,0.07,0.573912179844,5,0.569901931238,7,2,0.941176470588,0.882352941176,0.823529411765,0.647058823529,0.117647058824,0.885813148789,0.778546712803,0.678200692042,0.418685121107,0.0138408304498,1
002552_2026-06-17,2026-06-17,002552,1,0.136402877698,0.07,0.560817227216,8,0.552730778802,8,0,0.529411764706,0.529411764706,0.441176470588,0.294117647059,0.588235294118,0.280276816609,0.280276816609,0.194636678201,0.0865051903114,0.346020761246,0
002990_2026-06-17,2026-06-17,002990,1,0.0859687386405,0.07,0.556280258401,10,0.550721927268,9,-1,0.470588235294,0.764705882353,0.823529411765,0.117647058824,0.529411764706,0.221453287197,0.584775086505,0.678200692042,0.0138408304498,0.280276816609,0
