code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
603020,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603020 data quality check failed: minute trade days 35 < required 40,爱普股份,2026-06-16,2026-06-12
603036,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603036 data quality check failed: minute trade days 35 < required 40,如通股份,2026-06-16,2026-06-12
603065,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603065 data quality check failed: minute trade days 35 < required 40,宿迁联盛,2026-06-16,2026-06-12
603120,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:50:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603120 data quality check failed: minute trade days 35 < required 40,肯特催化,2026-06-16,2026-06-12
603180,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603180 data quality check failed: minute trade days 35 < required 40,金牌家居,2026-06-16,2026-06-12
603225,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603225 data quality check failed: minute trade days 35 < required 40,新凤鸣,2026-06-16,2026-06-12
603335,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603335 data quality check failed: minute trade days 35 < required 40,迪生力,2026-06-16,2026-06-15
603519,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603519 data quality check failed: minute trade days 35 < required 40,立霸股份,2026-06-16,2026-06-12
603528,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603528 data quality check failed: minute trade days 35 < required 40,多伦科技,2026-06-16,2026-06-12
603738,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603738 data quality check failed: minute trade days 35 < required 40,泰晶科技,2026-06-16,2026-06-15
603815,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603815 data quality check failed: minute trade days 35 < required 40,交建股份,2026-06-16,2026-06-12
603990,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603990 data quality check failed: minute trade days 35 < required 40,麦迪科技,2026-06-16,2026-06-12
