event_id,signal_date,code,change_type,field,old_value,new_value,reason
603001_2026-05-26,2026-05-27,603001,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603001_2026-05-26,2026-05-27,603001,unchanged,,,,
603661_2026-05-26,2026-05-27,603661,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603661_2026-05-26,2026-05-27,603661,unchanged,,,,
605580_2026-05-26,2026-05-27,605580,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605580_2026-05-26,2026-05-27,605580,unchanged,,,,
000759_2026-05-28,2026-05-28,000759,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000759_2026-05-28,2026-05-28,000759,unchanged,,,,
001257_2026-05-28,2026-05-28,001257,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
001257_2026-05-28,2026-05-28,001257,unchanged,,,,
002185_2026-05-27,2026-05-28,002185,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002185_2026-05-27,2026-05-28,002185,unchanged,,,,
