event_id,code,signal_date,sample_role,d1_bar_count,d2_bar_count,d3_bar_count,d1_first_bar_time,d2_first_bar_time,d3_first_bar_time,d1_last_bar_time,d2_last_bar_time,d3_last_bar_time,d1_expected_bar_count,d2_expected_bar_count,d3_expected_bar_count,d1_minute_complete,d2_minute_complete,d3_minute_complete,d2_daily_minute_open_diff,d3_daily_minute_high_diff,d3_daily_minute_close_diff,expected_d2_date,actual_d2_date,expected_d3_date,actual_d3_date,d2_date_shift_reason,d3_date_shift_reason,suspension_proof_status,label_quality_ok,label_quality_reason,target_quality_ok,tail_label_quality_ok,section,value
603163_2026-06-30,603163,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
603650_2026-06-30,603650,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
603678_2026-06-26,603678,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
603713_2026-06-26,603713,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
603929_2026-06-26,603929,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
603956_2026-06-30,603956,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
603989_2026-06-26,603989,2026-06-30,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-01,2026-07-01,2026-07-02,2026-07-02,none,none,not_applicable,True,ok,True,True,per_row,
000017_2026-07-01,000017,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
001229_2026-07-01,001229,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
002141_2026-06-29,002141,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
002180_2026-06-30,002180,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
002208_2026-07-01,002208,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
002568_2026-06-30,002568,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
002628_2026-07-01,002628,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
002638_2026-07-01,002638,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
003043_2026-07-01,003043,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
600228_2026-06-29,600228,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
600363_2026-07-01,600363,2026-07-01,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-07-02,2026-07-02,2026-07-03,2026-07-03,none,none,not_applicable,True,ok,True,True,per_row,
