event_id,code,name,signal_date,break_date,board_streak_before_break,days_since_break,candidate_status,exclusion_reason,data_quality_reason,v01_candidate_status,sample_role_v02
603933_2026-04-30,603933,睿能科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
605006_2026-04-30,605006,山东玻纤,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
605099_2026-05-06,605099,共创草坪,2026-05-06,2026-05-06,2,0,CANDIDATE,,,CANDIDATE,SENSITIVITY_MAY_COMPLETE
605123_2026-05-06,605123,派克新材,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
605158_2026-04-30,605158,华达新材,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
605168_2026-04-30,605168,三人行,2026-05-06,2026-04-30,2,1,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
605287_2026-04-29,605287,德才股份,2026-05-06,2026-04-29,2,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
605289_2026-04-29,605289,罗曼股份,2026-05-06,2026-04-29,2,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
605299_2026-05-06,605299,舒华体育,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
605376_2026-05-06,605376,博迁新材,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000060_2026-05-07,000060,中金岭南,2026-05-07,2026-05-07,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000338_2026-05-07,000338,潍柴动力,2026-05-07,2026-05-07,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000402_2026-05-07,000402,金 融 街,2026-05-07,2026-05-07,3,0,LABEL_UNAVAILABLE,missing_future_label,5min 未来交易日不足 2 个 (可用 0),LABEL_UNAVAILABLE,AUDIT_ONLY_MAY_INCOMPLETE
000551_2026-04-30,000551,创元科技,2026-05-07,2026-04-30,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000553_2026-05-07,000553,安道麦A,2026-05-07,2026-05-07,2,0,LABEL_UNAVAILABLE,missing_future_label,5min 未来交易日不足 2 个 (可用 0),LABEL_UNAVAILABLE,AUDIT_ONLY_MAY_INCOMPLETE
000620_2026-05-07,000620,盈新发展,2026-05-07,2026-05-07,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000628_2026-05-06,000628,高新发展,2026-05-07,2026-05-06,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000657_2026-04-30,000657,中钨高新,2026-05-07,2026-04-30,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000692_2026-04-30,000692,惠天热电,2026-05-07,2026-04-30,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000716_2026-04-30,000716,黑芝麻,2026-05-07,2026-04-30,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000783_2026-05-07,000783,长江证券,2026-05-07,2026-05-07,2,0,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-07 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
000802_2026-05-07,000802,北京文化,2026-05-07,2026-05-07,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000815_2026-05-07,000815,美利云,2026-05-07,2026-05-07,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000818_2026-04-30,000818,航锦科技,2026-05-07,2026-04-30,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000833_2026-05-06,000833,粤桂股份,2026-05-07,2026-05-06,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000863_2026-05-07,000863,三湘印象,2026-05-07,2026-05-07,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000901_2026-04-30,000901,航天科技,2026-05-07,2026-04-30,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000973_2026-04-30,000973,佛塑科技,2026-05-07,2026-04-30,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
