event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,closing_completion_gap,strength_x_gap,capped_pair_score,capped_pair_rank,final_capped_rank,target7,raw_repair_return,capped_opportunity_return_7,outcome_state,rank_strict_stage1,rank_strict_capped,rank_winner_protect,rank_loss_permission,rank_oracle_loss_stage1_backfill,rank_oracle_risk_oracle_backfill,rank_top10_oracle
601696_2026-06-16,2026-06-16,601696,7,2026-06-18,0.547238939001,4,True,0.25,0.125,0.0123884370108,7,7,0,-0.0187265917603,-0.0187265917603,LOSS,4,5,5,5,3,5,6
603738_2026-06-16,2026-06-16,603738,7,2026-06-18,0.543805034004,5,True,0.714285714286,0.238095238095,0.0155682889798,4,4,1,0.129815592478,0.07,TARGET7,5,6,6,6,5,6,3
603335_2026-06-16,2026-06-16,603335,7,2026-06-18,0.520929691444,6,True,0.785714285714,0.130952380952,0.0160306515277,3,3,1,0.111922141119,0.07,TARGET7,6,3,3,3,6,3,2
000506_2026-06-16,2026-06-16,000506,7,2026-06-18,0.49776781373,7,True,0.642857142857,0,0.0127828058484,6,6,0,-0.00130975769483,-0.00130975769483,LOSS,7,7,7,7,7,7,7
605198_2026-06-17,2026-06-17,605198,17,2026-06-22,0.595347963081,1,True,0.025,0.025,0.0204813831953,1,1,0,-0.0212765957447,-0.0212765957447,LOSS,1,1,3,1,4,4,4
603256_2026-06-17,2026-06-17,603256,17,2026-06-22,0.590493733946,2,True,0.775,0.7265625,0.0171726274983,3,3,1,0.12002451982,0.07,TARGET7,2,3,1,2,1,1,5
002515_2026-06-17,2026-06-17,002515,17,2026-06-22,0.580208362088,3,True,0.525,0.459375,0.0173388076102,2,2,1,0.165371809101,0.07,TARGET7,3,2,2,3,2,2,1
002824_2026-06-17,2026-06-17,002824,17,2026-06-22,0.579912100891,4,True,0.325,0.2640625,0.0167836443478,5,5,1,0.144943820225,0.07,TARGET7,4,4,4,4,3,5,3
600549_2026-06-17,2026-06-17,600549,17,2026-06-22,0.57652875494,5,True,0.6,0.45,0.0164214617419,6,6,1,0.209677419355,0.07,TARGET7,5,5,5,5,5,6,6
605289_2026-06-17,2026-06-17,605289,17,2026-06-22,0.567053946914,6,True,0.55,0.378125,0.0158561482531,7,7,0,0.065543071161,0.065543071161,POSITIVE_NON_TARGET,6,6,6,6,6,7,7
002851_2026-06-17,2026-06-17,002851,17,2026-06-22,0.560273706408,7,True,0.225,0.140625,0.0138917768011,9,9,1,0.0721357850071,0.07,TARGET7,7,7,7,7,7,8,8
002585_2026-06-17,2026-06-17,002585,17,2026-06-22,0.554586794746,8,True,0.225,0.1265625,0.0129336778883,10,10,0,0.0378634212306,0.0378634212306,POSITIVE_NON_TARGET,8,8,8,8,8,9,9
002552_2026-06-17,2026-06-17,002552,17,2026-06-22,0.552111624994,9,True,0.625,0.3125,0.0149663773231,8,8,1,0.136402877698,0.07,TARGET7,9,9,9,9,9,3,2
002990_2026-06-17,2026-06-17,002990,17,2026-06-22,0.544319402763,10,True,0.875,0.3828125,0.0168266947896,4,4,1,0.0859687386405,0.07,TARGET7,10,10,10,10,10,10,10
603516_2026-06-17,2026-06-17,603516,17,2026-06-22,0.529892433793,11,False,,,,,11,1,0.0701068927387,0.07,TARGET7,11,11,11,11,11,11,11
601179_2026-06-17,2026-06-17,601179,17,2026-06-22,0.524657251065,12,False,,,,,12,1,0.0707908163265,0.07,TARGET7,12,12,12,12,12,12,12
002806_2026-06-17,2026-06-17,002806,17,2026-06-22,0.516683953512,13,False,,,,,13,0,0.0405727923628,0.0405727923628,POSITIVE_NON_TARGET,13,13,13,13,13,13,13
600545_2026-06-17,2026-06-17,600545,17,2026-06-22,0.508964217966,14,False,,,,,14,1,0.142857142857,0.07,TARGET7,14,14,14,14,14,14,14
603045_2026-06-17,2026-06-17,603045,17,2026-06-22,0.501441178291,15,False,,,,,15,0,0.0585868150077,0.0585868150077,POSITIVE_NON_TARGET,15,15,15,15,15,15,15
600703_2026-06-17,2026-06-17,600703,17,2026-06-22,0.486643311867,16,False,,,,,16,1,0.0892151326934,0.07,TARGET7,16,16,16,16,16,16,16
002051_2026-06-17,2026-06-17,002051,17,2026-06-22,0.48247483137,17,False,,,,,17,1,0.0827974276527,0.07,TARGET7,17,17,17,17,17,17,17
603186_2026-06-18,2026-06-18,603186,15,2026-06-23,0.585704012668,1,True,0.1,0.1,0.018149938577,1,1,0,0.0454831800428,0.0454831800428,POSITIVE_NON_TARGET,1,1,1,1,1,1,3
002741_2026-06-18,2026-06-18,002741,15,2026-06-23,0.585158419493,2,True,0.1,0.0928571428571,0.0169973395405,2,2,0,-0.0204131227217,-0.0204131227217,LOSS,2,2,2,2,4,4,4
