comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,position_level,normal,missed_unselected,ordinary,0,19,,,-0.1417910447761194,,0.0,0.1417910447761194,0.0,0.1417910447761194,1,negative_group_overrepresented,`position_level=normal` is overrepresented in the negative group. lift=0.00.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,eligible_for_trade,True,missed_unselected,ordinary,0,19,,,-0.1417910447761194,,0.0,0.1417910447761194,0.0,0.1417910447761194,1,negative_group_overrepresented,`eligible_for_trade=True` is overrepresented in the negative group. lift=0.00.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,selected_by_topn,True,missed_unselected,ordinary,0,19,,,-0.1417910447761194,,0.0,0.1417910447761194,0.0,0.1417910447761194,1,negative_group_overrepresented,`selected_by_topn=True` is overrepresented in the negative group. lift=0.00.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,selected_for_execution,True,missed_unselected,ordinary,0,19,,,-0.1417910447761194,,0.0,0.1417910447761194,0.0,0.1417910447761194,1,negative_group_overrepresented,`selected_for_execution=True` is overrepresented in the negative group. lift=0.00.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,eligible_for_trade,False,missed_unselected,ordinary,77,115,,,0.14179104477611937,,1.0,0.8582089552238806,1.1652173913043478,0.14179104477611937,1,positive_group_overrepresented,`eligible_for_trade=False` is overrepresented in the positive group. lift=1.17.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,selected_by_topn,False,missed_unselected,ordinary,77,115,,,0.14179104477611937,,1.0,0.8582089552238806,1.1652173913043478,0.14179104477611937,1,positive_group_overrepresented,`selected_by_topn=False` is overrepresented in the positive group. lift=1.17.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,selected_for_execution,False,missed_unselected,ordinary,77,115,,,0.14179104477611937,,1.0,0.8582089552238806,1.1652173913043478,0.14179104477611937,1,positive_group_overrepresented,`selected_for_execution=False` is overrepresented in the positive group. lift=1.17.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,failure_reason,,missed_unselected,ordinary,77,115,,,0.14179104477611937,,1.0,0.8582089552238806,1.1652173913043478,0.14179104477611937,1,positive_group_overrepresented,`failure_reason=` is overrepresented in the positive group. lift=1.17.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,failure_reason,not_triggered,missed_unselected,ordinary,0,18,,,-0.13432835820895522,,0.0,0.13432835820895522,0.0,0.13432835820895522,1,negative_group_overrepresented,`failure_reason=not_triggered` is overrepresented in the negative group. lift=0.00.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,days_since_d0,,success,failed,6,16,1.8333333333333333,1.5,0.33333333333333326,0.6779669064975022,,,,0.6779669064975022,1,positive_group_higher,`days_since_d0` is higher in the positive group; treat as a candidate hypothesis.
success_vs_failed,Trade quality: executed winners vs executed losers.,segment,failure_reason,,success,failed,4,0,,,0.6666666666666666,,0.6666666666666666,0.0,,0.6666666666666666,1,positive_group_overrepresented,`failure_reason=` is overrepresented in the positive group.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,graph_quality_score,,success,failed,6,16,87.33333333333333,82.5,4.833333333333329,0.6524622553414465,,,,0.6524622553414465,1,positive_group_higher,`graph_quality_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,consecutive_boards,,success,failed,6,16,1.0,1.25,-0.25,-0.6481812160876687,,,,0.6481812160876687,1,negative_group_higher,`consecutive_boards` is higher in the negative group; treat as a candidate hypothesis.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,support_score,,success,failed,6,16,87.33333333333333,83.0,4.333333333333329,0.6169699235775442,,,,0.6169699235775442,1,positive_group_higher,`support_score` is higher in the positive group; treat as a candidate hypothesis.
