factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
invalid_distance_pct,all_opportunity_d3_max,all_candidates,2,107,2.6357,3.4335,3.0635,3.7789,2.4526,0.648,6.2289,0.215,0.0748,0.0,0.215,-2.6741,3.7789
invalid_distance_pct,all_opportunity_d3_max,all_candidates,3,108,3.439,4.2048,3.8602,5.3815,4.0051,1.1988,8.1936,0.3796,0.1667,0.0,0.3796,-1.114,5.3815
invalid_distance_pct,all_opportunity_d3_max,all_candidates,4,107,4.2107,4.765,4.4853,4.2932,2.6521,0.9164,7.7469,0.271,0.1495,0.0187,0.271,-2.0384,4.2932
invalid_distance_pct,all_opportunity_d3_max,all_candidates,5,108,4.7656,6.3741,5.1478,3.8946,2.9362,0.6567,6.191,0.1852,0.0556,0.0,0.1852,-3.1528,3.8946
invalid_distance_pct,all_primary_d3_close,all_candidates,1,108,0.0,2.6316,1.6097,-0.2229,-1.2456,-7.0547,5.5036,0.2222,0.1296,0.4167,0.4167,-0.2229,6.1906
invalid_distance_pct,all_primary_d3_close,all_candidates,2,107,2.6357,3.4335,3.0635,-2.6741,-3.8424,-6.3778,0.9971,0.0748,0.0374,0.5607,0.215,-2.6741,3.7789
invalid_distance_pct,all_primary_d3_close,all_candidates,3,108,3.439,4.2048,3.8602,-1.114,-2.2022,-6.0442,3.2107,0.1111,0.0648,0.4815,0.3796,-1.114,5.3815
invalid_distance_pct,all_primary_d3_close,all_candidates,4,107,4.2107,4.765,4.4853,-2.0384,-3.7736,-7.0539,2.8435,0.1121,0.0841,0.5514,0.271,-2.0384,4.2932
invalid_distance_pct,all_primary_d3_close,all_candidates,5,108,4.7656,6.3741,5.1478,-3.1528,-3.7631,-6.8935,-0.4967,0.0556,0.0278,0.5648,0.1852,-3.1528,3.8946
invalid_distance_pct,executed_realized_d3,executed_only,1,14,0.1434,3.1401,2.5401,0.4299,1.6705,-2.9118,6.1796,0.2857,0.0,0.2857,0.2857,-2.2411,3.5667
invalid_distance_pct,executed_realized_d3,executed_only,2,13,3.1454,3.8683,3.4865,-0.5441,-1.9323,-4.195,1.2912,0.2308,0.0,0.3077,0.3846,-1.289,4.338
